Id;Diffs;EOs;Pertubation;Components;Nodes;Edges;Filtered;Component_Computation_Time;Filter_Correct;Correct_1_Matches;Correct_2_Matches;Correct_3_Matches
Two_Eos20_eo31_p0.0;None;None;None;531;2991;3500;0;0.03376913070678711;False;;;
Two_Eos10_eo51_p1.0;None;None;None;428;4068;4928;0;0.0406949520111084;False;;;
Two_Eos20_eo81_p0.5;None;None;None;1400;10762;12847;0;0.12595510482788086;False;;;
Two_Eos20_eo11_p0.0;None;None;None;196;1075;1259;0;0.013594865798950195;False;;;
Two_Eos20_eo51_p0.0;None;None;None;832;4925;5793;0;0.05028510093688965;False;;;
Two_Eos10_eo31_p1.0;None;None;None;271;2613;3145;0;0.026810884475708008;False;;;
Two_Eos10_eo11_p1.0;None;None;None;124;931;1081;0;0.010775089263916016;False;;;
Two_Eos20_eo81_p1.0;None;None;None;1531;13383;16078;0;0.1439361572265625;False;;;
Two_Eos10_eo51_p0.5;None;None;None;410;3325;4018;0;0.03392481803894043;False;;;
Two_Eos10_eo81_p0.0;None;None;None;546;3668;4502;0;0.03729391098022461;False;;;
Two_Eos10_eo11_p0.5;None;None;None;109;775;897;0;0.008714914321899414;False;;;
Two_Eos10_eo31_p0.5;None;None;None;277;2125;2489;0;0.04869985580444336;False;;;
Two_Eos20_eo11_p0.5;None;None;None;233;1513;1778;0;0.01716017723083496;False;;;
Two_Eos20_eo81_p0.0;None;None;None;1216;7568;9129;0;0.09387707710266113;False;;;
Two_Eos20_eo31_p0.5;None;None;None;582;4154;4910;0;0.044389963150024414;False;;;
Two_Eos10_eo81_p1.0;None;None;None;658;6568;7972;0;0.06444191932678223;False;;;
Two_Eos20_eo51_p0.5;None;None;None;964;6862;8188;0;0.07387208938598633;False;;;
Two_Eos20_eo31_p1.0;None;None;None;644;5137;6121;0;0.05283403396606445;False;;;
Two_Eos10_eo51_p0.0;None;None;None;374;2459;2937;0;0.025433063507080078;False;;;
Two_Eos20_eo11_p1.0;None;None;None;248;1902;2239;0;0.04361867904663086;False;;;
Two_Eos20_eo51_p1.0;None;None;None;1029;8491;10145;0;0.09897494316101074;False;;;
Two_Eos10_eo31_p0.0;None;None;None;248;1493;1749;0;0.01657581329345703;False;;;
Two_Eos10_eo11_p0.0;None;None;None;92;536;632;0;0.006740093231201172;False;;;
Two_Eos10_eo81_p0.5;None;None;None;581;5228;6409;0;0.07338094711303711;False;;;
