,excess_count
0,0
1,0
2,4
3,0
4,0
5,0
6,0
7,0
8,1
9,4
10,2
11,0
12,0
13,0
14,3
15,0
16,5
17,0
18,0
19,11
20,1
21,2
22,10
23,5
24,0
25,0
26,11
27,0
28,0
29,1
30,0
31,0
32,0
33,11
34,0
35,2
36,5
37,0
38,0
39,3
40,2
41,3
42,0
43,0
44,1
45,4
46,0
47,0
48,0
49,0
50,5
51,5
52,0
53,0
54,0
55,0
56,0
57,0
58,3
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,9
82,12
83,0
84,2
85,0
86,0
87,0
88,0
89,0
90,0
91,6
92,10
93,7
94,0
95,0
96,0
97,0
98,6
99,11
100,0
101,2
102,1
103,7
104,8
105,2
106,8
107,12
108,0
109,10
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,3
131,0
132,12
133,3
134,0
135,4
136,0
137,2
138,7
139,3
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,4
148,7
149,11
150,5
151,0
152,0
153,0
154,0
155,2
156,1
157,13
158,11
159,13
160,0
161,0
162,0
163,4
164,0
165,2
166,0
167,0
168,3
169,0
170,4
171,4
172,0
173,2
174,5
175,0
176,0
177,0
178,2
179,0
180,5
181,0
182,4
183,4
184,2
185,0
186,3
187,0
188,7
189,0
190,4
191,0
192,0
193,6
194,0
195,6
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,9
205,0
206,0
207,0
208,3
209,0
