Id;Strategy;Number_Samples;Number_Training_Samples;Number_Test_Samples;Number_Tokens;Duplicates;Training_Set_Creation_Time;train_changed_attributes;train_added_nodes;train_removed_nodes;train_added_edges;train_removed_edges;test_changed_attributes;test_added_nodes;test_removed_nodes;test_added_edges;test_removed_edges
Two_Eos20_eo31_p0.0;dfs_edges;531;398;133;197986;0;0.8727371692657471;0;398;0;0;0;0;133;0;0;0
Two_Eos10_eo51_p1.0;dfs_edges;428;321;107;273723;0;0.6975500583648682;0;312;0;0;9;0;106;0;0;1
Two_Eos20_eo81_p0.5;dfs_edges;1400;1050;350;719638;0;3.607201099395752;0;1025;0;0;25;0;337;0;0;13
Two_Eos20_eo11_p0.0;dfs_edges;196;147;49;71226;0;0.24759888648986816;0;147;0;0;0;0;49;0;0;0
Two_Eos20_eo51_p0.0;dfs_edges;832;624;208;326928;0;1.652608871459961;0;624;0;0;0;0;208;0;0;0
Two_Eos10_eo31_p1.0;dfs_edges;271;203;68;175152;0;0.4095182418823242;0;192;0;0;11;0;64;0;0;4
Two_Eos10_eo11_p1.0;dfs_edges;124;93;31;61226;0;0.17123103141784668;0;89;0;0;4;0;29;0;0;2
Two_Eos20_eo81_p1.0;dfs_edges;1531;1148;383;898084;0;4.512386798858643;0;1085;0;0;63;0;363;0;0;20
Two_Eos10_eo51_p0.5;dfs_edges;410;307;103;223589;0;0.6980190277099609;0;304;0;0;3;0;99;0;0;4
Two_Eos10_eo81_p0.0;dfs_edges;546;409;137;249228;0;0.9408869743347168;0;409;0;0;0;0;137;0;0;0
Two_Eos10_eo11_p0.5;dfs_edges;109;81;28;50848;0;0.13434886932373047;0;80;0;0;1;0;27;0;0;1
Two_Eos10_eo31_p0.5;dfs_edges;277;207;70;140232;0;0.3952798843383789;0;197;0;0;10;0;69;0;0;1
Two_Eos20_eo11_p0.5;dfs_edges;233;174;59;100396;0;0.30512428283691406;0;166;0;0;8;0;57;0;0;2
Two_Eos20_eo81_p0.0;dfs_edges;1216;912;304;509980;0;2.7928247451782227;0;912;0;0;0;0;304;0;0;0
Two_Eos20_eo31_p0.5;dfs_edges;582;436;146;276201;0;1.0165297985076904;0;426;0;0;10;0;144;0;0;2
Two_Eos10_eo81_p1.0;dfs_edges;658;493;165;442473;0;1.2804949283599854;0;471;0;0;22;0;162;0;0;3
Two_Eos20_eo51_p0.5;dfs_edges;964;723;241;459323;0;2.0350561141967773;0;703;0;0;20;0;232;0;0;9
Two_Eos20_eo31_p1.0;dfs_edges;644;483;161;343209;0;1.1658377647399902;0;459;0;0;24;0;156;0;0;5
Two_Eos10_eo51_p0.0;dfs_edges;374;280;94;164311;0;0.5435299873352051;0;280;0;0;0;0;94;0;0;0
Two_Eos20_eo11_p1.0;dfs_edges;248;186;62;126158;0;0.33815693855285645;0;177;0;0;9;0;58;0;0;4
Two_Eos20_eo51_p1.0;dfs_edges;1029;771;258;568234;0;2.2366297245025635;0;729;0;0;42;0;250;0;0;8
Two_Eos10_eo31_p0.0;dfs_edges;248;186;62;98710;0;0.3561718463897705;0;186;0;0;0;0;62;0;0;0
Two_Eos10_eo11_p0.0;dfs_edges;92;69;23;35616;0;0.10872197151184082;0;69;0;0;0;0;23;0;0;0
Two_Eos10_eo81_p0.5;dfs_edges;581;435;146;354360;0;1.0437469482421875;0;422;0;0;13;0;141;0;0;5
