Id;Strategy;Epochs;Base_Model;Finetune_Id;Cost;Finetune_Time;Average_Token_Acc;model_name;Number_Samples;Number_Training_Samples;Number_Test_Samples;Number_Tokens;Duplicates;Training_Set_Creation_Time;Diffs;EOs;Pertubation;Components;Nodes;Edges;Filtered;Component_Computation_Time;Filter_Correct;Correct_1_Matches;Correct_2_Matches;Correct_3_Matches;token_count;faulty_graphs;faulty_mm;duplicates;Pattern_Correct_1_Rank_factorial;Pattern_Pollution_Add_Interface_And_SW_Rank_factorial;Pattern_Pollution_Add_Package_and_Port_Rank_factorial;Pattern_Pollution_Add_Connector_Rank_factorial;Pattern_Pollution_Add_SwImpl_Rank_factorial;Pattern_Correct_3_Rank_factorial;Pattern_Correct_2_Rank_factorial;Pattern_Correct_1_Rank_probability;Pattern_Pollution_Add_Interface_And_SW_Rank_probability;Pattern_Pollution_Add_Package_and_Port_Rank_probability;Pattern_Pollution_Add_Connector_Rank_probability;Pattern_Pollution_Add_SwImpl_Rank_probability;Pattern_Correct_3_Rank_probability;Pattern_Correct_2_Rank_probability;Pattern_Correct_1_Rank_edges_scaled;Pattern_Pollution_Add_Interface_And_SW_Rank_edges_scaled;Pattern_Pollution_Add_Package_and_Port_Rank_edges_scaled;Pattern_Pollution_Add_Connector_Rank_edges_scaled;Pattern_Pollution_Add_SwImpl_Rank_edges_scaled;Pattern_Correct_3_Rank_edges_scaled;Pattern_Correct_2_Rank_edges_scaled;Pattern_Correct_1_Rank_compression;Pattern_Pollution_Add_Interface_And_SW_Rank_compression;Pattern_Pollution_Add_Package_and_Port_Rank_compression;Pattern_Pollution_Add_Connector_Rank_compression;Pattern_Pollution_Add_SwImpl_Rank_compression;Pattern_Correct_3_Rank_compression;Pattern_Correct_2_Rank_compression
Two_Eos20_eo31_p0.0;dfs_edges;4;ada;ft-BlQ2nF3g0sZ0aqAUGERWs0fK;0.17;582.0;0.9682448575454992;ada:ft-siemens-ag-t-2022-09-26-10-25-34;1290;1161;129;115729;628;0.6548559665679932;20;31;0.0;531;2991;3500;0;0.0377488136291503;False;125;172;167;2821.0;0.0;0.0;40.0;1.0;-1.0;-1.0;-1.0;-1.0;6.0;5.0;13.0;-1.0;-1.0;-1.0;-1.0;8.0;7.0;13.0;-1.0;-1.0;-1.0;-1.0;3.0;1.0;1;-1;-1;-1;-1;5;3
Two_Eos20_eo31_p0.0;dfs_edges;6;ada;ft-dl9H0eKN9hLYUYnAHuWd3YYH;0.08;193.0;0.9810018830220828;ada:ft-siemens-ag-t-2022-09-26-17-34-36;1290;1161;129;115729;628;0.6548559665679932;20;31;0.0;531;2991;3500;0;0.0377488136291503;False;125;172;167;1995.0;1.0;0.0;27.0;1.0;-1.0;-1.0;-1.0;-1.0;4.0;5.0;9.0;-1.0;-1.0;-1.0;-1.0;4.0;5.0;9.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;1;-1;-1;-1;-1;4;2
Two_Eos10_eo51_p1.0;dfs_edges;4;ada;ft-KMugctgzn5c7A1HZIyfT7x0j;0.22;366.0;0.9487766327556152;ada:ft-siemens-ag-t-2022-09-26-10-34-26;911;819;92;153713;94;0.5936019420623779;10;51;1.0;423;3555;4254;5;0.0419976711273193;False;0;0;64;5866.0;2.0;4.0;56.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1;-1;-1;-1;-1;5;-1
Two_Eos10_eo51_p1.0;dfs_edges;6;ada;ft-h642F1kYVX5JdgMUQjNwWmET;0.11;178.0;0.969713938834306;ada:ft-siemens-ag-t-2022-09-26-17-40-12;911;819;92;153713;94;0.5936019420623779;10;51;1.0;423;3555;4254;5;0.0419976711273193;False;0;0;64;3628.0;0.0;0.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1;-1;-1;-1;-1;11;-1
Two_Eos20_eo81_p0.5;dfs_edges;4;ada;ft-gSWd4891muq39mupuipgQraa;0.59;760.0;0.9550892106638122;ada:ft-siemens-ag-t-2022-09-26-11-11-36;3105;2794;311;407314;928;1.8140337467193604;20;81;0.5;1393;9866;11672;7;0.1354749202728271;False;139;196;276;3994.0;0.0;2.0;32.0;3.0;-1.0;-1.0;-1.0;-1.0;5.0;9.0;21.0;-1.0;-1.0;-1.0;-1.0;4.0;8.0;20.0;-1.0;-1.0;-1.0;-1.0;1.0;2.0;1;-1;-1;-1;-1;6;2
Two_Eos20_eo81_p0.5;dfs_edges;6;ada;ft-0ta3YQu024kXFdgE6To4HULc;0.29;260.0;0.9691352381466972;ada:ft-siemens-ag-t-2022-09-26-17-49-29;3105;2794;311;407314;928;1.8140337467193604;20;81;0.5;1393;9866;11672;7;0.1354749202728271;False;139;196;276;2950.0;1.0;0.0;27.0;1.0;-1.0;-1.0;-1.0;-1.0;3.0;5.0;15.0;-1.0;-1.0;-1.0;-1.0;4.0;6.0;15.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;1;-1;-1;-1;-1;5;3
Two_Eos20_eo11_p0.0;dfs_edges;4;ada;ft-hOEp9fgDsuuTZRXTmM9HxSXu;0.06;194.0;0.9595952720308508;ada:ft-siemens-ag-t-2022-09-26-11-30-43;483;434;49;41966;175;0.2413902282714843;20;11;0.0;196;1075;1259;0;0.014146089553833;False;53;72;55;1864.0;0.0;1.0;30.0;1.0;-1.0;-1.0;-1.0;-1.0;5.0;6.0;16.0;-1.0;-1.0;-1.0;-1.0;6.0;7.0;15.0;-1.0;-1.0;-1.0;-1.0;5.0;4.0;1;-1;-1;-1;-1;6;2
Two_Eos20_eo11_p0.0;dfs_edges;6;ada;ft-kDdLajhocQSeOVJadVy4avpR;0.03;64.0;0.9811072948950308;ada:ft-siemens-ag-t-2022-09-26-17-45-22;483;434;49;41966;175;0.2413902282714843;20;11;0.0;196;1075;1259;0;0.014146089553833;False;53;72;55;2693.0;3.0;0.0;37.0;1.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0;6.0;-1.0;-1.0;-1.0;-1.0;1.0;2.0;6.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;1;-1;-1;-1;-1;6;2
Two_Eos20_eo51_p0.0;dfs_edges;4;ada;ft-O2DAGwhkXRak1VAsrM3Aj8ic;0.28;914.0;0.9701693898205636;ada:ft-siemens-ag-t-2022-09-26-11-51-38;2025;1822;203;192059;985;1.0343210697174072;20;51;0.0;832;4925;5793;0;0.0793390274047851;False;208;271;224;1842.0;0.0;0.0;26.0;1.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0;8.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0;7.0;-1.0;-1.0;-1.0;-1.0;3.0;2.0;1;-1;-1;-1;-1;4;2
Two_Eos20_eo51_p0.0;dfs_edges;6;ada;ft-ma0TSIDpNaOinkxutCJuJhQO;0.14;305.0;0.9798739474469532;ada:ft-siemens-ag-t-2022-09-26-17-56-12;2025;1822;203;192059;985;1.0343210697174072;20;51;0.0;832;4925;5793;0;0.0793390274047851;False;208;271;224;1733.0;0.0;0.0;23.0;1.0;-1.0;-1.0;-1.0;-1.0;2.0;4.0;6.0;-1.0;-1.0;-1.0;-1.0;1.0;3.0;6.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;1;-1;-1;-1;-1;5;2
Two_Eos10_eo31_p1.0;dfs_edges;4;ada;ft-zwTPAptlGxvzfUYFw7imUa7A;0.15;233.0;0.9391146074858504;ada:ft-siemens-ag-t-2022-09-26-11-57-29;584;525;59;102192;52;0.3887701034545898;10;31;1.0;267;2356;2819;4;0.0396859645843505;False;0;0;44;3793.0;22.0;4.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.0;-1.0;-1;-1;-1;-1;-1;8;-1
Two_Eos10_eo31_p1.0;dfs_edges;6;ada;ft-YOa2RIC9oEW4fXf9VQOYFIZX;0.07;79.0;0.9657415091171344;ada:ft-siemens-ag-t-2022-09-26-17-52-46;584;525;59;102192;52;0.3887701034545898;10;31;1.0;267;2356;2819;4;0.0396859645843505;False;0;0;44;3076.0;4.0;1.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1;-1;-1;-1;-1;9;-1
Two_Eos10_eo11_p1.0;dfs_edges;4;ada;ft-2GO1cCrCHJP0ZhTXTcq35SsS;0.05;101.0;0.9212065221926792;ada:ft-siemens-ag-t-2022-09-26-12-01-05;251;225;26;37873;19;0.1609008312225341;10;11;1.0;124;931;1081;0;0.010481834411621;False;0;0;23;947.0;11.0;6.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1;-1;-1;-1;-1;1;-1
Two_Eos10_eo11_p1.0;dfs_edges;6;ada;ft-VzOUgAiO6WLEpli0cioYud3Z;0.03;33.0;0.9565010045505976;ada:ft-siemens-ag-t-2022-09-26-17-54-36;251;225;26;37873;19;0.1609008312225341;10;11;1.0;124;931;1081;0;0.010481834411621;False;0;0;23;337.0;0.0;1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1;-1;-1;-1;-1;2;-1
Two_Eos20_eo81_p1.0;dfs_edges;4;ada;ft-FyOoujIBfEGOn3tw7cxR1tqK;0.76;789.0;0.9527599979584784;ada:ft-siemens-ag-t-2022-09-26-12-19-17;3262;2935;327;526408;412;2.131165027618408;20;81;1.0;1525;12411;14811;6;0.1605372428894043;False;0;0;203;6397.0;0.0;0.0;74.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1;-1;-1;-1;-1;14;-1
Two_Eos20_eo81_p1.0;dfs_edges;6;ada;ft-O6FZi85sJEnHtk1lGMigxxJq;0.38;266.0;0.9664923409894686;ada:ft-siemens-ag-t-2022-09-26-18-04-05;3262;2935;327;526408;412;2.131165027618408;20;81;1.0;1525;12411;14811;6;0.1605372428894043;False;0;0;203;8233.0;3.0;2.0;69.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;21.0;-1;-1;-1;-1;-1;21;7
Two_Eos10_eo51_p0.5;dfs_edges;4;ada;ft-yUMaIVCan0RxRLMZSYPS11p8;0.21;386.0;0.9488308767562704;ada:ft-siemens-ag-t-2022-09-26-12-33-54;945;850;95;142957;173;0.5924580097198486;10;51;0.5;410;3325;4018;0;0.0343070030212402;False;34;47;77;1556.0;0.0;0.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;5.0;-1;-1;-1;-1;-1;3;2
Two_Eos10_eo51_p0.5;dfs_edges;6;ada;ft-2wGtGkGQJawYiFnYkagnkUwN;0.1;126.0;0.9681318054261008;ada:ft-siemens-ag-t-2022-09-26-18-01-12;945;850;95;142957;173;0.5924580097198486;10;51;0.5;410;3325;4018;0;0.0343070030212402;False;34;47;77;2057.0;0.0;0.0;18.0;1.0;-1.0;-1.0;-1.0;-1.0;6.0;5.0;11.0;-1.0;-1.0;-1.0;-1.0;6.0;5.0;11.0;-1.0;-1.0;-1.0;-1.0;4.0;2.0;2;-1;-1;-1;-1;4;3
Two_Eos10_eo81_p0.0;dfs_edges;4;ada;ft-mDKt7pGeVPOXkQt4F3boGao8;0.21;612.0;0.962384407377504;ada:ft-siemens-ag-t-2022-09-26-11-25-46;1334;1200;134;144321;569;0.7191202640533447;10;81;0.0;544;3483;4260;2;0.0402309894561767;False;90;172;145;2267.0;3.0;0.0;24.0;1.0;-1.0;-1.0;-1.0;-1.0;4.0;2.0;6.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;6.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;2;-1;-1;-1;-1;3;1
Two_Eos10_eo81_p0.0;dfs_edges;6;ada;ft-TgBc36Ubc55nETakaEkLcNwG;0.1;209.0;0.9773794716938552;ada:ft-siemens-ag-t-2022-09-26-18-08-55;1334;1200;134;144321;569;0.7191202640533447;10;81;0.0;544;3483;4260;2;0.0402309894561767;False;90;172;145;1434.0;0.0;0.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;1.0;-1;-1;-1;-1;-1;2;1
Two_Eos10_eo11_p0.5;dfs_edges;4;ada;ft-xpyg34TlY82F7ZYZ6NDKmm3M;0.04;94.0;0.9231668121826044;ada:ft-siemens-ag-t-2022-09-26-12-36-40;231;207;24;30534;37;0.1428689956665039;10;11;0.5;109;775;897;0;0.0090639591217041;False;9;10;28;532.0;0.0;0.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;1.0;-1;-1;-1;-1;-1;2;3
Two_Eos10_eo11_p0.5;dfs_edges;6;ada;ft-Mm8icdFWD2LXjHtBDalDwjDP;0.02;31.0;0.9607804489093006;ada:ft-siemens-ag-t-2022-09-26-18-05-49;231;207;24;30534;37;0.1428689956665039;10;11;0.5;109;775;897;0;0.0090639591217041;False;9;10;28;836.0;2.0;0.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;6.0;-1;-1;-1;-1;-1;1;2
Two_Eos10_eo31_p0.5;dfs_edges;4;ada;ft-tgcCU1Tuzi24O1NEna5Az78Y;0.13;240.0;0.9413337683745532;ada:ft-siemens-ag-t-2022-09-26-12-42-41;599;539;60;87686;103;0.3691630363464355;10;31;0.5;277;2125;2489;0;0.0385510921478271;False;27;31;53;3994.0;1.0;0.0;38.0;1.0;-1.0;-1.0;-1.0;-1.0;6.0;7.0;23.0;-1.0;-1.0;-1.0;-1.0;7.0;8.0;22.0;-1.0;-1.0;-1.0;-1.0;6.0;5.0;1;-1;-1;-1;-1;5;6
Two_Eos10_eo31_p0.5;dfs_edges;6;ada;ft-bXMOcklcmIhDNCF0dcIJpUXl;0.06;80.0;0.967589560043292;ada:ft-siemens-ag-t-2022-09-26-18-09-08;599;539;60;87686;103;0.3691630363464355;10;31;0.5;277;2125;2489;0;0.0385510921478271;False;27;31;53;2892.0;4.0;0.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;2.0;-1;-1;-1;-1;-1;2;3
Two_Eos20_eo11_p0.5;dfs_edges;4;ada;ft-nRO4OCzZ6evsQtifeq7oIAYn;0.09;204.0;0.9447692416739224;ada:ft-siemens-ag-t-2022-09-26-12-48-41;501;450;51;60158;71;0.2893240451812744;20;11;0.5;233;1513;1778;0;0.0188291072845459;False;34;38;33;3423.0;7.0;0.0;29.0;1.0;-1.0;-1.0;-1.0;-1.0;10.0;8.0;15.0;-1.0;-1.0;-1.0;-1.0;10.0;5.0;14.0;-1.0;-1.0;-1.0;-1.0;6.0;3.0;1;-1;-1;-1;-1;6;4
Two_Eos20_eo11_p0.5;dfs_edges;6;ada;ft-rk69u3pmdyvUcpdaifBDyCcv;0.04;66.0;0.971299891314852;ada:ft-siemens-ag-t-2022-09-26-18-12-02;501;450;51;60158;71;0.2893240451812744;20;11;0.5;233;1513;1778;0;0.0188291072845459;False;34;38;33;848.0;0.0;0.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.0;4.0;-1;-1;-1;-1;-1;3;1
Two_Eos20_eo81_p0.0;dfs_edges;4;ada;ft-yMrFInLYEyIfQefTrCM7mWZN;0.43;734.0;0.9680622585883352;ada:ft-siemens-ag-t-2022-09-26-10-51-27;2993;2693;300;297820;1524;1.6008021831512451;20;81;0.0;1214;7343;8830;2;0.0899879932403564;False;271;398;319;2211.0;0.0;0.0;31.0;1.0;-1.0;-1.0;-1.0;-1.0;6.0;5.0;7.0;-1.0;-1.0;-1.0;-1.0;3.0;2.0;7.0;-1.0;-1.0;-1.0;-1.0;3.0;1.0;2;-1;-1;-1;-1;5;1
Two_Eos20_eo81_p0.0;dfs_edges;6;ada;ft-sDbqANJpa2ypb72GDd3z8SQs;0.21;243.0;0.979161082554504;ada:ft-siemens-ag-t-2022-09-26-18-18-03;2993;2693;300;297820;1524;1.6008021831512451;20;81;0.0;1214;7343;8830;2;0.0899879932403564;False;271;398;319;2223.0;0.0;0.0;31.0;1.0;-1.0;-1.0;-1.0;-1.0;3.0;5.0;9.0;-1.0;-1.0;-1.0;-1.0;3.0;5.0;8.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;2;-1;-1;-1;-1;4;1
