Id;Strategy;Epochs;Base_Model;Finetune_Id;Cost;Finetune_Time;Average_Token_Acc;model_name;Number_Samples;Number_Training_Samples;Number_Test_Samples;Number_Tokens;Duplicates;Training_Set_Creation_Time;Diffs;EOs;Pertubation;Components;Nodes;Edges;Filtered;Component_Computation_Time;Filter_Correct;Correct_1_Matches;Correct_2_Matches;Correct_3_Matches;token_count;faulty_graphs;faulty_mm;duplicates;Pattern_Correct_1_Rank_factorial;Pattern_Pollution_Add_Interface_And_SW_Rank_factorial;Pattern_Pollution_Add_Package_and_Port_Rank_factorial;Pattern_Pollution_Add_Connector_Rank_factorial;Pattern_Pollution_Add_SwImpl_Rank_factorial;Pattern_Correct_3_Rank_factorial;Pattern_Correct_2_Rank_factorial;Pattern_Correct_1_Rank_probability;Pattern_Pollution_Add_Interface_And_SW_Rank_probability;Pattern_Pollution_Add_Package_and_Port_Rank_probability;Pattern_Pollution_Add_Connector_Rank_probability;Pattern_Pollution_Add_SwImpl_Rank_probability;Pattern_Correct_3_Rank_probability;Pattern_Correct_2_Rank_probability;Pattern_Correct_1_Rank_edges_scaled;Pattern_Pollution_Add_Interface_And_SW_Rank_edges_scaled;Pattern_Pollution_Add_Package_and_Port_Rank_edges_scaled;Pattern_Pollution_Add_Connector_Rank_edges_scaled;Pattern_Pollution_Add_SwImpl_Rank_edges_scaled;Pattern_Correct_3_Rank_edges_scaled;Pattern_Correct_2_Rank_edges_scaled;Pattern_Correct_1_Rank_compression;Pattern_Pollution_Add_Interface_And_SW_Rank_compression;Pattern_Pollution_Add_Package_and_Port_Rank_compression;Pattern_Pollution_Add_Connector_Rank_compression;Pattern_Pollution_Add_SwImpl_Rank_compression;Pattern_Correct_3_Rank_compression;Pattern_Correct_2_Rank_compression
Two_Eos10_eo11_p0.0;dfs_edges;4;curie;ft-azw0HQpoChI4dWbfFS70T5un;0.22;148.0;0.9573231803890512;curie:ft-siemens-ag-t-2022-10-01-20-18-47;220;198;22;20461;55;0.1173241138458252;10;11;0.0;92;536;632;0;0.0075099468231201;False;24;31;24;1022.0;3.0;0.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;1.0
Two_Eos10_eo11_p0.0;dfs_edges;6;curie;ft-VKn1WjsUbOySimtmMZ9NQ2G4;0.11;49.0;0.9858770138957976;curie:ft-siemens-ag-t-2022-10-02-09-04-56;220;198;22;20461;55;0.1173241138458252;10;11;0.0;92;536;632;0;0.0075099468231201;False;24;31;24;918.0;1.0;0.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;1.0
Two_Eos10_eo11_p0.5;dfs_edges;4;curie;ft-tSXKywc72tpjOeJ2AltPcLwO;0.34;161.0;0.9450795866628908;curie:ft-siemens-ag-t-2022-10-01-20-23-41;243;218;25;31742;29;0.1536211967468261;10;11;0.5;109;775;897;0;0.0100619792938232;False;9;10;28;2620.0;11.0;1.0;8.0;1.0;-1.0;-1.0;-1.0;-1.0;4.0;5.0;8.0;-1.0;-1.0;-1.0;-1.0;3.0;4.0;8.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;4.0;6.0
Two_Eos10_eo11_p0.5;dfs_edges;6;curie;ft-JyC3iqxxihhK6bRRjtFUCH7p;0.17;55.0;0.9803157100939116;curie:ft-siemens-ag-t-2022-10-02-09-05-25;243;218;25;31742;29;0.1536211967468261;10;11;0.5;109;775;897;0;0.0100619792938232;False;9;10;28;681.0;0.0;0.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0
Two_Eos10_eo11_p1.0;dfs_edges;4;curie;ft-GWPS2LFvdZoHP4E323TBbn2J;0.4;163.0;0.9464634813222896;curie:ft-siemens-ag-t-2022-10-01-20-28-50;245;220;25;37269;14;0.1650192737579345;10;11;1.0;124;931;1081;0;0.0121219158172607;False;0;0;23;4383.0;30.0;4.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0
Two_Eos10_eo11_p1.0;dfs_edges;6;curie;ft-o4uYz6pT1N4H1V08aToStk5N;0.2;54.0;0.9783085872116256;curie:ft-siemens-ag-t-2022-10-02-09-08-04;245;220;25;37269;14;0.1650192737579345;10;11;1.0;124;931;1081;0;0.0121219158172607;False;0;0;23;1715.0;9.0;3.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0
Two_Eos10_eo31_p0.0;dfs_edges;4;curie;ft-u8k1PhyXqPtqGoteJ0h3uZgw;0.62;396.0;0.9720926671750426;curie:ft-siemens-ag-t-2022-10-01-20-38-55;604;543;61;58298;211;0.3199810981750488;10;31;0.0;248;1493;1749;0;0.018090009689331;False;61;74;71;1728.0;1.0;0.0;21.0;1.0;-1.0;-1.0;-1.0;-1.0;2.0;4.0;11.0;-1.0;-1.0;-1.0;-1.0;3.0;4.0;8.0;-1.0;-1.0;-1.0;-1.0;2.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;4.0;3.0
Two_Eos10_eo31_p0.0;dfs_edges;6;curie;ft-yjEZR2ICH8zHv5u3au6FqBvu;0.31;136.0;0.9878827893251092;curie:ft-siemens-ag-t-2022-10-02-09-19-39;604;543;61;58298;211;0.3199810981750488;10;31;0.0;248;1493;1749;0;0.018090009689331;False;61;74;71;2401.0;0.0;0.0;30.0;1.0;-1.0;-1.0;-1.0;-1.0;4.0;5.0;9.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0;4.0;-1.0;-1.0;-1.0;-1.0;3.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;5.0;4.0
Two_Eos10_eo31_p0.5;dfs_edges;4;curie;ft-UdrtHUYXs3UjK7d1yKakcDnW;0.93;403.0;0.9620310065428752;curie:ft-siemens-ag-t-2022-10-01-20-49-06;593;533;60;86185;95;0.3801229000091553;10;31;0.5;277;2125;2489;0;0.0401349067687988;False;27;31;53;3368.0;6.0;0.0;29.0;1.0;-1.0;-1.0;-1.0;-1.0;7.0;11.0;18.0;-1.0;-1.0;-1.0;-1.0;8.0;13.0;11.0;-1.0;-1.0;-1.0;-1.0;5.0;9.0;1.0;-1.0;-1.0;-1.0;-1.0;2.0;4.0
Two_Eos10_eo31_p0.5;dfs_edges;6;curie;ft-dSgET6PGVRQRp4Vdh1ndsbqR;0.46;137.0;0.9836312571193996;curie:ft-siemens-ag-t-2022-10-02-09-25-39;593;533;60;86185;95;0.3801229000091553;10;31;0.5;277;2125;2489;0;0.0401349067687988;False;27;31;53;816.0;0.0;0.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;2.0
