Id;Strategy;Epochs;Base_Model;Finetune_Id;Cost;Finetune_Time;Average_Token_Acc;model_name;Number_Samples;Number_Training_Samples;Number_Test_Samples;Number_Tokens;Duplicates;Training_Set_Creation_Time;Diffs;EOs;Pertubation;Components;Nodes;Edges;Filtered;Component_Computation_Time;Filter_Correct;Correct_1_Matches;Correct_2_Matches;Correct_3_Matches;token_count;faulty_graphs;faulty_mm;duplicates;Pattern_Correct_1_Rank_factorial;Pattern_Pollution_Add_Interface_And_SW_Rank_factorial;Pattern_Pollution_Add_Package_and_Port_Rank_factorial;Pattern_Pollution_Add_Connector_Rank_factorial;Pattern_Pollution_Add_SwImpl_Rank_factorial;Pattern_Correct_3_Rank_factorial;Pattern_Correct_2_Rank_factorial;Pattern_Correct_1_Rank_probability;Pattern_Pollution_Add_Interface_And_SW_Rank_probability;Pattern_Pollution_Add_Package_and_Port_Rank_probability;Pattern_Pollution_Add_Connector_Rank_probability;Pattern_Pollution_Add_SwImpl_Rank_probability;Pattern_Correct_3_Rank_probability;Pattern_Correct_2_Rank_probability;Pattern_Correct_1_Rank_edges_scaled;Pattern_Pollution_Add_Interface_And_SW_Rank_edges_scaled;Pattern_Pollution_Add_Package_and_Port_Rank_edges_scaled;Pattern_Pollution_Add_Connector_Rank_edges_scaled;Pattern_Pollution_Add_SwImpl_Rank_edges_scaled;Pattern_Correct_3_Rank_edges_scaled;Pattern_Correct_2_Rank_edges_scaled;Pattern_Correct_1_Rank_compression;Pattern_Pollution_Add_Interface_And_SW_Rank_compression;Pattern_Pollution_Add_Package_and_Port_Rank_compression;Pattern_Pollution_Add_Connector_Rank_compression;Pattern_Pollution_Add_SwImpl_Rank_compression;Pattern_Correct_3_Rank_compression;Pattern_Correct_2_Rank_compression
Two_Eos10_eo11_p1.0;dfs_edges;4;davinci;ft-Pw6PhEYnQHzfuPEeq7cri8rH;4.03;263.0;0.9559892370697792;davinci:ft-siemens-ag-t-2022-10-14-11-24-13;250;225;25;38106;18;0.1650829315185547;10;11;1.0;124;931;1081;0;0.0112490653991699;False;0;0;23;51.0;3.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
Two_Eos10_eo11_p1.0;dfs_edges;6;davinci;ft-cuc6cM49WGSkZ2cHOhMMTqP2;2.02;89.0;0.9869463685781074;davinci:ft-siemens-ag-t-2022-10-15-10-33-36;250;225;25;38106;18;0.1650829315185547;10;11;1.0;124;931;1081;0;0.0112490653991699;False;0;0;23;3534.0;6.0;0.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;-1.0
Two_Eos10_eo31_p1.0;dfs_edges;4;davinci;ft-ZkooNQ9a7tyFjXzOD6UNZyW0;11.04;630.0;0.9667484761263326;davinci:ft-siemens-ag-t-2022-10-14-13-09-43;584;525;59;101958;51;0.3917911052703857;10;31;1.0;267;2356;2819;4;0.0286459922790527;False;0;0;44;5687.0;3.0;1.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;7.0;-1.0
Two_Eos10_eo31_p1.0;dfs_edges;6;davinci;ft-JN6DcFA65o4A5zb4P1WrVVRh;5.52;209.0;0.9866872326311056;davinci:ft-siemens-ag-t-2022-10-15-10-43-55;584;525;59;101958;51;0.3917911052703857;10;31;1.0;267;2356;2819;4;0.0286459922790527;False;0;0;44;2225.0;0.0;0.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;7.0;-1.0
Two_Eos10_eo51_p1.0;dfs_edges;4;davinci;ft-7xR5oFY3JYqeeqap2qhoynv1;16.55;985.0;0.9701833877753216;davinci:ft-siemens-ag-t-2022-10-14-14-30-22;899;809;90;152336;88;0.6082620620727539;10;51;1.0;423;3555;4254;5;0.0400671958923339;False;0;0;64;6544.0;1.0;0.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.0;4.0
Two_Eos10_eo51_p1.0;dfs_edges;6;davinci;ft-Wz3wzBd6OVin0l9DGKjMoRve;8.28;318.0;0.9876598466729792;davinci:ft-siemens-ag-t-2022-10-15-11-03-39;899;809;90;152336;88;0.6082620620727539;10;51;1.0;423;3555;4254;5;0.0400671958923339;False;0;0;64;5623.0;2.0;0.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.0;-1.0
Two_Eos10_eo81_p1.0;dfs_edges;4;davinci;ft-x3ocvRMkqPIGu4pvK6TR13kb;24.85;1845.0;0.9646855177249848;davinci:ft-siemens-ag-t-2022-10-14-16-35-41;1357;1221;136;231756;136;0.8954751491546631;10;81;1.0;648;5477;6539;10;0.0695729255676269;False;0;0;88;4066.0;0.0;0.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.0;-1.0
Two_Eos10_eo81_p1.0;dfs_edges;6;davinci;ft-J5Df0wUttu4aI5RbWR2S9W7J;12.42;596.0;0.9827945949441204;davinci:ft-siemens-ag-t-2022-10-15-11-24-52;1357;1221;136;231756;136;0.8954751491546631;10;81;1.0;648;5477;6539;10;0.0695729255676269;False;0;0;88;3518.0;0.0;0.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.0;-1.0
Two_Eos20_eo11_p1.0;dfs_edges;4;davinci;ft-TxEu0kHSZcBOvhC1ZpXedEOm;8.5;519.0;0.9657362085412892;davinci:ft-siemens-ag-t-2022-10-14-18-07-44;509;458;51;78522;45;0.3567948341369629;20;11;1.0;248;1902;2239;0;0.0391991138458251;False;0;0;37;1875.0;0.0;2.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.0;-1.0
Two_Eos20_eo11_p1.0;dfs_edges;6;davinci;ft-Nhlr2wsjvWf5EpwXjQ5lG682;4.25;171.0;0.9879283497629632;davinci:ft-siemens-ag-t-2022-10-15-12-01-07;509;458;51;78522;45;0.3567948341369629;20;11;1.0;248;1902;2239;0;0.0391991138458251;False;0;0;37;4304.0;3.0;1.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.0;-1.0
