"X";"prompt_gt";"completion_gt";"missing_edges";"total_edges";"total_nodes";"prompt_edges";"prompt_nodes";"nb_completion_candidates";"completion_best_rank";"completion_best_eval";"completion_best_rank_score";"completion_best_eval_score";"completion_best_rank_correct_edges";"completion_best_eval_correct_edges";"completion_best_rank_lines_missing";"completion_best_eval_lines_missing";"completion_best_rank_additional_lines";"completion_best_eval_additional_lines";"completion_best_rank_result";"completion_best_eval_result";"best_rank"
"0";"e 0 3 Add_requ Add_Component Add_Requ\ne";" 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$";"3";"4";"4";"1";"2";"4";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$";"49998";"150000";"1";"3";"2";"0";"0";"0";"TOO_SMALL";"ISOMORPHIC";"100"
"1";"e 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_requ Add_Component Add_Requ\ne 3 1 Add_im Add_Component Add_Im\ne 1 3 Add_component Add_Im Add_Component\ne";" 2 1 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_requ Add_Component Add_Requ\ne 3 1 Add_im Add_Component Add_Im\ne 1 3 Add_component Add_Im Add_Component\ne 2 1 Add_im Pres_Package Add_Im\n$$";"e 2 0 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_requ Add_Component Add_Requ\ne 3 1 Add_im Add_Component Add_Im\ne 1 3 Add_component Add_Im Add_Component\ne 2 1 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"2";"e 0 4 Add_requ Add_Component Add_Requ\ne 2 4 Add_requ Pres_Package Add_Requ\ne 2 6 Add_package Pres_Package Add_Package\ne 6 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 5 Add_package Pres_Package Add_Package\ne";" 5 0 Add_component Add_Package Add_Component\n$$";"1";"8";"7";"7";"7";"1";"e 0 4 Add_requ Add_Component Add_Requ\ne 2 4 Add_requ Pres_Package Add_Requ\ne 2 6 Add_package Pres_Package Add_Package\ne 6 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 5 Add_package Pres_Package Add_Package\ne 5 0 Add_component Add_Package Add_Component\n$$";"e 0 4 Add_requ Add_Component Add_Requ\ne 2 4 Add_requ Pres_Package Add_Requ\ne 2 6 Add_package Pres_Package Add_Package\ne 6 1 Add_component Add_Package Add_Component\ne 1 3 Add_requ Add_Component Add_Requ\ne 2 3 Add_requ Pres_Package Add_Requ\ne 2 5 Add_package Pres_Package Add_Package\ne 5 0 Add_component Add_Package Add_Component\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"3";"e 0 1 Add_requ Add_Component Add_Requ\ne";" 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 2 3 Add_im Pres_Package Add_Im\n$$";"5";"6";"4";"1";"2";"4";"e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne";"e 0 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 2 3 Add_im Pres_Package Add_Im\n$$";"49996";"150000";"1";"5";"4";"0";"0";"0";"TOO_SMALL";"ISOMORPHIC";"100"
"4";"e 0 3 Add_component Add_Package Add_Component\ne";" 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$";"3";"4";"4";"1";"2";"1";"e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$";"e 0 3 Add_component Add_Package Add_Component\ne 3 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_package Pres_Package Add_Package\n$$";"150000";"150000";"3";"3";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"5";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_package Pres_Package Add_Package\ne";" 2 0 Add_component Add_Package Add_Component\n$$";"1";"4";"4";"3";"4";"1";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$";"e 0 3 Add_requ Add_Component Add_Requ\ne 1 3 Add_requ Pres_Package Add_Requ\ne 1 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"6";"e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_package Pres_Package Add_Package\ne";" 2 0 Add_component Add_Package Add_Component\n$$";"1";"4";"4";"3";"4";"1";"e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$";"e 0 1 Add_requ Add_Component Add_Requ\ne 3 1 Add_requ Pres_Package Add_Requ\ne 3 2 Add_package Pres_Package Add_Package\ne 2 0 Add_component Add_Package Add_Component\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"7";"e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne";" 2 0 Add_im Pres_Package Add_Im\n$$";"1";"6";"4";"5";"4";"1";"e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"e 0 3 Add_component Add_Im Add_Component\ne 3 1 Add_requ Add_Component Add_Requ\ne 2 1 Add_requ Pres_Package Add_Requ\ne 2 3 Add_component Pres_Package Add_Component\ne 3 0 Add_im Add_Component Add_Im\ne 2 0 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"1";"1";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"8";"e 0 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_component Pres_Package Add_Component\ne";" 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 1 3 Add_im Pres_Package Add_Im\n$$";"3";"6";"4";"3";"3";"1";"e 0 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 1 3 Add_im Pres_Package Add_Im\n$$";"e 0 2 Add_requ Add_Component Add_Requ\ne 1 2 Add_requ Pres_Package Add_Requ\ne 1 0 Add_component Pres_Package Add_Component\ne 0 3 Add_im Add_Component Add_Im\ne 3 0 Add_component Add_Im Add_Component\ne 1 3 Add_im Pres_Package Add_Im\n$$";"150000";"150000";"3";"3";"0";"0";"0";"0";"ISOMORPHIC";"ISOMORPHIC";"0"
"9";"e 0 13 Add_port Pres_Component Add_Port\ne";" 1 13 Add_t Add_Connector Add_Port\ne 1 9 Add_requ Add_Connector Add_Requ\ne 7 9 Add_requ Pres_Package Add_Requ\ne 7 4 Add_component Pres_Package Add_Component\ne 4 15 Add_requ Add_Component Add_Requ\ne 7 15 Add_requ Pres_Package Add_Requ\ne 7 1 Add_con Pres_Package Add_Connector\ne 1 17 Add_src Add_Connector Add_Port\ne 2 17 Add_port Add_Component Add_Port\ne 2 18 Add_requ Add_Component Add_Requ\ne 5 18 Add_requ Pres_Package Add_Requ\ne 5 2 Add_component Pres_Package Add_Component\ne 2 6 Add_im Add_Component Add_Im\ne 6 2 Add_component Add_Im Add_Component\ne 5 6 Add_im Pres_Package Add_Im\ne 5 14 Add_con Pres_Package Add_Connector\ne 14 3 Add_requ Add_Connector Add_Requ\ne 5 3 Add_requ Pres_Package Add_Requ\ne 14 10 Add_src Add_Connector Add_Port\ne 16 10 Add_port Pres_Component Add_Port\ne 14 12 Add_t Add_Connector Add_Port\ne 11 12 Add_port Pres_Component Add_Port\ne 7 8 Add_im Pres_Package Add_Im\ne 8 4 Add_component Add_Im Add_Component\ne 4 8 Add_im Add_Component Add_Im\n$$";"25";"26";"19";"1";"2";"3";"e 0 13 Add_port Pres_Component Add_Port\ne 4 13 Add_t Add_Connector Add_Port\ne 4 1 Add_requ Add_Connector Add_Requ\ne 5 1 Add_requ Pres_Package Add_Requ\ne 5 4 Add_con Pres_Package Add_Connector\ne";"e 0 13 Add_port Pres_Component Add_Port\ne 4 13 Add_t Add_Connector Add_Port\ne 4 1 Add_requ Add_Connector Add_Requ\ne 5 1 Add_requ Pres_Package Add_Requ\ne 5 4 Add_con Pres_Package Add_Connector\ne 4 2 Add_src Add_Connector Add_Port\ne 3 2 Add_port Pres_Component Add_Port\n$$";"49979";"49981";"4";"6";"21";"19";"0";"0";"TOO_SMALL";"TOO_SMALL";"0"
