Id;Diffs;EOs;Pertubation;Components;Nodes;Edges;Filtered;Component_Computation_Time;Filter_Correct;Correct_1_Matches;Correct_2_Matches;Correct_3_Matches
modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore;None;None;None;129;385;262;0;0.006371974945068359;False;;;
technology.stem!!models_foodproduction_org.eclipse.stem.foodproduction_model_foodproduction.ecore;None;None;None;5;63;77;0;0.003426790237426758;False;;;
modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore;None;None;None;194;1365;1236;0;0.028206825256347656;False;;;
technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore;None;None;None;165;725;601;0;0.013835668563842773;False;;;
technology.stem!!core_org.eclipse.stem.core_model_scenario.ecore;None;None;None;3;6;3;0;0.0038840770721435547;False;;;
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore;None;None;None;51;426;395;0;0.03003978729248047;False;;;
modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_ImperativeOCL.ecore;None;None;None;26;102;77;0;0.0028722286224365234;False;;;
modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore;None;None;None;7096;34597;27545;0;0.43598222732543945;False;;;
modeling.emf.emf!!plugins_org.eclipse.emf.ecore_model_XMLType.ecore;None;None;None;32;117;85;0;0.0030069351196289062;False;;;
modeling.emf.emf!!plugins_org.eclipse.emf.ecore.change_model_Change.ecore;None;None;None;7;22;15;0;0.002727985382080078;False;;;
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvttemplate_model_QVTtemplate.ecore;None;None;None;26;4195;4169;0;0.06527280807495117;False;;;
modeling.emft.emf-client!!bundles_org.eclipse.emf.ecp.view.custom.model_model_custom.ecore;None;None;None;7;32;29;0;0.0043756961822509766;False;;;
modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore;None;None;None;137;866;730;0;0.014500141143798828;False;;;
modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore;None;None;None;101;382;282;0;0.012585878372192383;False;;;
modeling.mmt.atl!!plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore;None;None;None;43;337;294;0;0.006222724914550781;False;;;
