Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,32,123,7,7,143,143,0
diff_1,32,123,7,7,143,143,0
diff_2,32,123,7,7,143,143,0
diff_3,32,123,7,7,143,143,0
diff_4,32,123,7,7,143,143,0
diff_5,57,123,7,7,143,157,0
diff_6,44,135,7,7,157,164,0
diff_7,68,141,7,7,164,183,0
diff_8,38,157,7,7,183,183,0
diff_9,38,157,7,7,183,183,0
diff_10,38,157,7,7,183,183,0
diff_11,38,157,7,7,183,183,0
diff_12,38,157,7,7,183,183,0
diff_13,50,157,7,7,183,190,0
diff_14,38,163,7,7,190,190,0
diff_15,38,163,7,7,190,190,0
diff_16,38,163,7,7,190,190,0
diff_17,38,163,7,7,190,190,0
diff_18,38,163,7,7,190,190,0
diff_19,38,163,7,7,190,190,0
diff_20,39,163,7,7,190,190,0
diff_21,38,163,7,7,190,190,0
diff_22,38,163,7,7,190,190,0
diff_23,38,163,7,7,190,190,0
diff_24,38,163,7,7,190,190,0
diff_25,38,163,7,7,190,190,0
diff_26,38,163,7,7,190,190,0
diff_27,38,163,7,7,190,190,0
diff_28,50,163,7,7,190,197,0
diff_29,62,169,7,7,197,211,0
diff_30,59,179,7,7,211,218,0
diff_31,40,187,7,7,218,218,0
diff_32,40,187,7,7,218,218,0
diff_33,272,187,7,7,218,344,0
diff_34,68,295,7,7,344,344,0
diff_35,68,295,7,7,344,344,0
diff_36,68,295,7,7,344,344,0
diff_37,68,295,7,7,344,344,0
diff_38,68,295,7,7,344,344,0
diff_39,68,295,7,7,344,344,0
diff_40,68,295,7,7,344,344,0
diff_41,68,295,7,7,344,344,0
diff_42,68,295,7,7,344,344,0
diff_43,68,295,7,7,344,344,0
diff_44,68,295,7,7,344,344,0
diff_45,68,295,7,7,344,344,0
diff_46,68,295,7,7,344,344,0
diff_47,68,295,7,7,344,344,0
diff_48,68,295,7,7,344,344,0
diff_49,68,295,7,7,344,344,0
diff_50,68,295,7,7,344,344,0
diff_51,68,295,7,7,344,344,0
diff_52,86,295,7,7,344,344,0
diff_53,68,295,7,7,344,344,0
diff_54,68,295,7,7,344,344,0
diff_55,68,295,7,7,344,344,0
diff_56,68,295,7,7,344,344,0
diff_57,68,295,7,7,344,344,0
diff_58,68,295,7,7,344,344,0
diff_59,68,295,7,7,344,344,0
diff_60,68,295,7,7,344,344,0
diff_61,68,295,7,7,344,344,0
diff_62,68,295,7,7,344,344,0
diff_63,68,295,7,7,344,344,0
diff_64,68,295,7,7,344,344,0
diff_65,80,295,7,7,344,351,0
diff_66,68,301,7,7,351,351,0
diff_67,68,301,7,7,351,351,0
diff_68,68,301,7,7,351,351,0
diff_69,68,301,7,7,351,351,0
diff_70,68,301,7,7,351,351,0
diff_71,68,301,7,7,351,351,0
diff_72,68,301,7,7,351,351,0
diff_73,68,301,7,7,351,351,0
diff_74,68,301,7,7,351,351,0
diff_75,68,301,7,7,351,351,0
diff_76,68,301,7,7,351,351,0
diff_77,68,301,7,7,351,351,0
diff_78,68,301,7,7,351,351,0
diff_79,144,283,7,7,351,353,0
diff_80,68,303,7,7,353,353,0
diff_81,68,303,7,7,353,353,0
diff_82,68,303,7,7,353,353,0
diff_83,68,303,7,7,353,353,0
diff_84,68,303,7,7,353,353,0
diff_85,68,303,7,7,353,353,0
diff_86,68,303,7,7,353,353,0
diff_87,68,303,7,7,353,353,0
diff_88,68,303,7,7,353,353,0
diff_89,68,303,7,7,353,353,0
diff_90,68,303,7,7,353,353,0
diff_91,68,303,7,7,353,353,0
diff_92,68,303,7,7,353,353,0
diff_93,68,303,7,7,353,353,0
diff_94,160,283,7,7,353,360,0
diff_95,68,309,7,7,360,360,0
diff_96,68,309,7,7,360,360,0
diff_97,68,309,7,7,360,360,0
diff_98,68,309,7,7,360,360,0
diff_99,68,309,7,7,360,360,0
diff_100,68,309,7,7,360,360,0
diff_101,68,309,7,7,360,360,0
diff_102,68,309,7,7,360,360,0
diff_103,80,309,7,7,360,367,0
diff_104,95,315,7,7,367,381,0
diff_105,68,327,7,7,381,381,0
diff_106,68,327,7,7,381,381,0
diff_107,68,327,7,7,381,381,0
diff_108,368,249,7,7,381,374,0
diff_109,68,321,7,7,374,374,0
diff_110,68,321,7,7,374,374,0
diff_111,68,321,7,7,374,374,0
diff_112,68,321,7,7,374,374,0
