Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,2,85,7,7,226,226,0
diff_1,18,84,7,7,226,238,0
diff_2,1,88,7,7,238,240,0
diff_3,31,84,7,7,240,244,0
diff_4,2,89,7,7,244,246,0
diff_5,24,89,7,7,246,256,0
diff_6,19,93,7,7,256,270,0
diff_7,14,99,7,7,270,275,0
diff_8,15,101,7,7,275,287,0
diff_9,0,107,7,7,287,287,0
diff_10,40,102,7,9,287,287,0
diff_11,2,111,9,9,287,289,0
diff_12,7,110,9,9,289,291,0
diff_13,25,110,9,9,291,292,0
diff_14,59,100,9,9,292,254,0
diff_15,9,105,9,9,254,257,0
diff_16,2,107,9,9,257,257,0
diff_17,2,106,9,9,257,255,0
diff_18,11,106,9,9,255,264,0
diff_19,4,107,9,9,264,260,0
diff_20,2,107,9,9,260,262,0
diff_21,22,108,9,9,262,276,0
diff_22,2,117,9,9,276,276,0
diff_23,42,109,9,9,276,277,0
diff_24,21,115,9,9,277,286,0
diff_25,1,123,9,9,286,286,0
diff_26,12,123,9,9,286,295,0
diff_27,2,127,9,9,295,297,0
diff_28,2,128,9,9,297,297,0
diff_29,23,123,9,9,297,291,0
diff_30,9,125,9,9,291,298,0
diff_31,2,129,9,9,298,298,0
diff_32,2,129,9,9,298,300,0
diff_33,2,130,9,9,300,302,0
diff_34,4,131,9,9,302,297,0
diff_35,9,130,9,9,297,300,0
diff_36,1,132,9,9,300,299,0
diff_37,5,131,9,9,299,299,0
diff_38,32,131,9,9,299,319,0
diff_39,3,141,9,9,319,321,0
diff_40,0,142,9,9,321,321,0
diff_41,193,124,9,9,321,357,0
diff_42,8,158,9,9,357,363,0
diff_43,3,160,9,9,363,365,0
diff_44,10,161,9,9,365,372,0
diff_45,4,165,9,9,372,375,0
diff_46,12,166,9,9,375,385,0
diff_47,3,170,9,9,385,387,0
diff_48,10,171,9,9,387,395,0
diff_49,2,175,9,9,395,397,0
diff_50,2,176,9,9,397,399,0
diff_51,1,177,9,9,399,399,0
diff_52,12,177,9,9,399,411,0
diff_53,10,181,9,9,411,413,0
diff_54,8,183,9,9,413,421,0
diff_55,4,187,9,9,421,421,0
diff_56,2,188,9,9,421,421,0
diff_57,30,178,9,9,421,398,0
diff_58,1,178,9,9,398,398,0
diff_59,1,178,9,9,398,398,0
diff_60,2,178,9,9,398,398,0
diff_61,4,178,9,9,398,398,0
diff_62,5,178,9,9,398,402,0
diff_63,4,179,9,9,402,402,0
diff_64,13,180,9,9,402,412,0
diff_65,0,185,9,9,412,412,0
diff_66,2,185,9,9,412,414,0
diff_67,4,186,9,9,414,417,0
diff_68,8,186,9,9,417,417,0
diff_69,7,187,9,9,417,424,0
diff_70,13,190,9,9,424,434,0
diff_71,1,195,9,9,434,434,0
diff_72,11,195,9,9,434,437,0
diff_73,1,195,9,9,437,436,0
diff_74,1,195,9,9,436,435,0
diff_75,0,195,9,9,435,435,0
diff_76,2,195,9,9,435,435,0
diff_77,4,195,9,9,435,439,0
diff_78,2,197,9,9,439,441,0
diff_79,2,197,9,9,441,443,0
diff_80,10,195,9,10,443,441,0
diff_81,2,197,10,10,441,443,0
diff_82,10,196,10,10,443,443,0
diff_83,7,198,10,10,443,451,0
diff_84,5,201,10,10,451,455,0
diff_85,4,202,10,10,455,455,0
diff_86,14,203,10,10,455,469,0
diff_87,11,209,10,10,469,472,0
diff_88,0,213,10,10,472,472,0
diff_89,15,213,10,10,472,472,0
diff_90,15,213,10,10,472,472,0
diff_91,6,213,10,10,472,472,0
diff_92,10,212,10,10,472,475,0
diff_93,4,214,10,10,475,475,0
diff_94,2,214,10,10,475,475,0
diff_95,2,214,10,10,475,475,0
diff_96,0,214,10,10,475,475,0
diff_97,4,214,10,10,475,478,0
diff_98,0,215,10,10,478,478,0
diff_99,3,215,10,10,478,480,0
diff_100,772,216,10,12,480,866,0
diff_101,632,446,12,12,866,870,0
diff_102,88,584,12,12,870,870,0
diff_103,1176,312,12,12,870,870,0
diff_104,64,590,12,12,870,870,0
diff_105,8,606,12,12,870,875,0
diff_106,39,605,12,12,875,888,0
diff_107,624,462,12,12,888,888,0
diff_108,1,618,12,12,888,888,0
diff_109,88,591,12,12,888,880,0
diff_110,8,604,12,12,880,880,0
diff_111,85,567,12,12,880,828,0
diff_112,16,563,12,12,828,828,0
diff_113,1,567,12,12,828,829,0
diff_114,13,567,12,12,829,837,0
diff_115,1,573,12,12,837,838,0
diff_116,16,569,12,12,838,838,0
diff_117,14,573,12,12,838,846,0
diff_118,7,579,12,12,846,850,0
diff_119,6,582,12,12,850,855,0
diff_120,0,584,12,12,855,855,0
