Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,16,55,5,5,108,108,0
diff_1,19,55,5,5,108,110,0
diff_2,28,55,5,5,110,114,0
diff_3,30,58,5,7,114,118,0
diff_4,24,62,7,7,118,120,0
diff_5,25,63,7,7,120,122,0
diff_6,24,64,7,7,122,122,0
diff_7,24,64,7,7,122,122,0
diff_8,24,64,7,7,122,122,0
diff_9,24,64,7,7,122,122,0
diff_10,24,64,7,7,122,122,0
diff_11,24,64,7,7,122,122,0
diff_12,24,64,7,7,122,122,0
diff_13,24,64,7,7,122,122,0
diff_14,24,64,7,7,122,122,0
diff_15,24,64,7,7,122,122,0
diff_16,24,64,7,7,122,122,0
diff_17,24,64,7,7,122,122,0
diff_18,24,64,7,7,122,122,0
diff_19,24,64,7,7,122,122,0
diff_20,24,64,7,7,122,122,0
diff_21,24,64,7,7,122,122,0
diff_22,24,64,7,7,122,122,0
diff_23,24,64,7,7,122,122,0
diff_24,55,62,7,7,122,138,0
diff_25,32,72,7,7,138,138,0
diff_26,46,72,7,7,138,148,0
diff_27,34,77,7,7,148,148,0
diff_28,34,77,7,7,148,148,0
diff_29,39,77,7,9,148,150,0
diff_30,58,79,9,9,150,166,0
diff_31,42,87,9,9,166,166,0
diff_32,49,87,9,9,166,170,0
diff_33,44,89,9,9,170,170,0
diff_34,44,89,9,9,170,170,0
diff_35,44,89,9,9,170,170,0
diff_36,44,89,9,9,170,170,0
diff_37,44,89,9,9,170,170,0
diff_38,67,77,9,7,170,148,0
diff_39,67,77,7,9,148,170,0
diff_40,44,89,9,9,170,170,0
diff_41,44,89,9,9,170,170,0
diff_42,44,89,9,9,170,170,0
diff_43,44,89,9,9,170,170,0
diff_44,44,89,9,9,170,170,0
diff_45,67,77,9,7,170,148,0
diff_46,34,77,7,7,148,148,0
diff_47,34,77,7,7,148,148,0
diff_48,34,77,7,7,148,148,0
diff_49,34,77,7,7,148,148,0
diff_50,34,77,7,7,148,148,0
diff_51,34,77,7,7,148,148,0
diff_52,34,77,7,7,148,148,0
diff_53,34,77,7,7,148,148,0
diff_54,34,77,7,7,148,148,0
diff_55,34,77,7,7,148,148,0
diff_56,34,77,7,7,148,148,0
diff_57,34,77,7,7,148,148,0
