Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,25,105,7,7,195,197,0
diff_1,28,106,7,7,197,209,0
diff_2,18,112,7,7,209,211,0
diff_3,18,113,7,7,211,213,0
diff_4,17,114,7,7,213,213,0
diff_5,16,114,7,7,213,213,0
diff_6,16,114,7,7,213,213,0
diff_7,33,114,7,9,213,221,0
diff_8,18,121,9,9,221,223,0
diff_9,18,122,9,9,223,225,0
diff_10,18,123,9,9,225,227,0
diff_11,20,122,9,7,227,225,0
diff_12,18,122,7,7,225,227,0
diff_13,18,123,7,7,227,229,0
diff_14,26,123,7,7,229,235,0
diff_15,16,127,7,7,235,235,0
diff_16,43,127,7,9,235,253,0
diff_17,33,136,9,9,253,263,0
diff_18,22,141,9,9,263,263,0
diff_19,28,141,9,11,263,267,0
diff_20,24,144,11,11,267,269,0
diff_21,26,145,11,11,269,273,0
diff_22,24,147,11,11,273,275,0
diff_23,23,148,11,11,275,275,0
diff_24,22,148,11,11,275,275,0
diff_25,47,148,11,11,275,291,0
diff_26,24,158,11,11,291,291,0
diff_27,24,158,11,11,291,291,0
diff_28,24,158,11,11,291,291,0
diff_29,24,158,11,11,291,291,0
diff_30,24,158,11,11,291,291,0
diff_31,24,158,11,11,291,291,0
diff_32,26,158,11,11,291,293,0
diff_33,26,159,11,11,293,295,0
diff_34,26,160,11,11,295,297,0
diff_35,26,161,11,11,297,299,0
diff_36,24,162,11,11,299,299,0
diff_37,26,162,11,11,299,301,0
diff_38,26,163,11,11,301,303,0
diff_39,26,164,11,11,303,305,0
diff_40,28,165,11,11,305,307,0
diff_41,36,167,11,11,307,319,0
diff_42,26,173,11,11,319,321,0
diff_43,24,174,11,11,321,321,0
diff_44,30,174,11,11,321,327,0
diff_45,28,177,11,11,327,331,0
diff_46,35,179,11,11,331,337,0
diff_47,26,184,11,11,337,339,0
diff_48,28,185,11,11,339,343,0
diff_49,26,187,11,11,343,345,0
diff_50,24,188,11,11,345,345,0
diff_51,26,188,11,11,345,346,0
diff_52,28,189,11,11,346,350,0
diff_53,24,191,11,11,350,350,0
diff_54,26,191,11,11,350,351,0
diff_55,26,192,11,11,351,352,0
diff_56,26,193,11,11,352,354,0
diff_57,24,194,11,11,354,354,0
diff_58,26,194,11,11,354,356,0
diff_59,24,195,11,11,356,356,0
diff_60,24,195,11,11,356,356,0
diff_61,44,195,11,11,356,363,0
diff_62,24,201,11,11,363,363,0
diff_63,24,201,11,11,363,363,0
diff_64,26,201,11,11,363,364,0
diff_65,24,202,11,11,364,364,0
diff_66,24,202,11,11,364,364,0
diff_67,26,202,11,11,364,365,0
diff_68,26,203,11,11,365,367,0
diff_69,26,204,11,11,367,368,0
diff_70,24,205,11,11,368,368,0
diff_71,26,205,11,11,368,369,0
diff_72,26,206,11,11,369,371,0
diff_73,24,207,11,11,371,371,0
diff_74,26,207,11,11,371,373,0
diff_75,35,208,11,11,373,379,0
diff_76,24,213,11,11,379,379,0
diff_77,26,213,11,11,379,381,0
diff_78,26,214,11,11,381,382,0
diff_79,26,215,11,11,382,384,0
diff_80,26,216,11,11,384,385,0
diff_81,26,217,11,11,385,387,0
diff_82,26,218,11,11,387,389,0
diff_83,26,219,11,11,389,390,0
diff_84,26,220,11,11,390,391,0
diff_85,24,221,11,11,391,391,0
diff_86,26,221,11,11,391,392,0
diff_87,63,222,11,11,392,412,0
diff_88,30,241,11,12,412,417,0
diff_89,146,243,12,12,417,485,0
diff_90,36,302,12,12,485,493,0
diff_91,80,308,12,12,493,525,0
diff_92,47,336,12,12,525,540,0
diff_93,48,348,12,12,540,556,0
diff_94,30,360,12,12,556,559,0
diff_95,30,363,12,12,559,563,0
