Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,35,46,9,9,74,87,0
diff_1,22,53,9,9,87,87,0
diff_2,22,53,9,9,87,87,0
diff_3,22,53,9,9,87,87,0
diff_4,22,53,9,9,87,87,0
diff_5,22,53,9,9,87,87,0
diff_6,22,53,9,9,87,87,0
diff_7,22,53,9,9,87,87,0
diff_8,22,53,9,9,87,87,0
diff_9,22,53,9,9,87,87,0
diff_10,22,53,9,9,87,90,0
diff_11,22,53,9,9,90,90,0
diff_12,22,53,9,9,90,90,0
diff_13,22,53,9,9,90,90,0
diff_14,22,53,9,9,90,90,0
diff_15,22,53,9,9,90,90,0
diff_16,23,53,9,9,90,90,0
diff_17,22,53,9,9,90,90,0
diff_18,22,53,9,9,90,90,0
diff_19,22,53,9,9,90,90,0
diff_20,22,53,9,9,90,90,0
diff_21,22,53,9,9,90,90,0
diff_22,22,53,9,9,90,90,0
diff_23,37,53,9,10,90,102,0
diff_24,24,60,10,10,102,102,0
diff_25,24,60,10,10,102,102,0
diff_26,24,60,10,10,102,102,0
diff_27,24,60,10,10,102,102,0
diff_28,24,60,10,10,102,102,0
diff_29,24,60,10,10,102,102,0
