Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,30,251,9,9,329,329,0
diff_1,31,251,9,9,329,329,0
diff_2,42,245,9,9,329,323,0
diff_3,30,245,9,9,323,323,0
diff_4,99,220,9,11,323,294,0
diff_5,26,224,11,11,294,294,0
diff_6,26,224,11,11,294,294,0
diff_7,35,220,11,9,294,289,0
diff_8,26,220,9,9,289,289,0
diff_9,31,220,9,9,289,293,0
diff_10,26,222,9,9,293,293,0
diff_11,26,222,9,9,293,293,0
diff_12,26,222,9,9,293,293,0
diff_13,26,222,9,9,293,293,0
