Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,2,4,4,4,7,7,0
diff_1,2,4,4,4,7,7,0
diff_2,2,4,4,4,7,7,0
diff_3,2,4,4,4,7,7,0
diff_4,2,4,4,4,7,7,0
diff_5,2,4,4,4,7,7,0
diff_6,2,4,4,4,7,7,0
diff_7,2,4,4,4,7,7,0
diff_8,2,4,4,4,7,7,0
diff_9,2,4,4,4,7,7,0
diff_10,2,4,4,4,7,7,0
diff_11,2,4,4,4,7,7,0
diff_12,2,4,4,4,7,7,0
diff_13,2,4,4,4,7,7,0
diff_14,2,4,4,4,7,7,0
diff_15,2,4,4,4,7,7,0
diff_16,2,4,4,4,7,7,0
diff_17,2,4,4,4,7,7,0
diff_18,2,4,4,4,7,7,0
diff_19,2,4,4,4,7,7,0
diff_20,2,4,4,4,7,7,0
diff_21,2,4,4,4,7,7,0
diff_22,12,1,4,4,7,5,0
diff_23,8,2,4,4,5,5,0
diff_24,8,2,4,4,5,5,0
diff_25,2,3,4,4,5,5,0
diff_26,2,3,4,4,5,5,0
diff_27,2,3,4,4,5,5,0
diff_28,2,3,4,4,5,5,0
diff_29,2,3,4,4,5,5,0
diff_30,5,3,4,5,5,7,0
diff_31,6,4,5,5,7,9,0
diff_32,8,4,5,5,9,9,0
diff_33,25,3,5,5,9,17,0
diff_34,6,9,5,5,17,17,0
diff_35,6,9,5,5,17,17,0
diff_36,6,9,5,5,17,17,0
diff_37,6,9,5,5,17,17,0
diff_38,6,9,5,5,17,17,0
diff_39,6,9,5,5,17,17,0
diff_40,6,9,5,5,17,17,0
diff_41,6,9,5,5,17,17,0
diff_42,6,9,5,5,17,17,0
diff_43,6,9,5,5,17,17,0
diff_44,6,9,5,5,17,17,0
diff_45,6,9,5,5,17,17,0
diff_46,6,9,5,5,17,17,0
diff_47,6,9,5,5,17,17,0
diff_48,6,9,5,5,17,17,0
diff_49,6,9,5,5,17,17,0
diff_50,6,9,5,5,17,17,0
