Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,25,141,9,9,222,231,0
diff_1,2,150,9,9,231,231,0
diff_2,0,150,9,9,231,231,0
diff_3,178,139,9,9,231,305,0
diff_4,2,199,9,9,305,305,0
diff_5,100,198,9,9,305,373,0
diff_6,6,236,9,9,373,377,0
diff_7,1,238,9,9,377,377,0
diff_8,34,238,9,9,377,403,0
diff_9,2,251,9,9,403,403,0
diff_10,15,251,9,11,403,413,0
diff_11,7,257,11,11,413,415,0
diff_12,1,259,11,11,415,416,0
diff_13,1,259,11,11,416,416,0
diff_14,3,259,11,11,416,417,0
diff_15,23,257,11,11,417,419,0
diff_16,7,262,11,11,419,425,0
diff_17,5,265,11,11,425,427,0
diff_18,2,266,11,11,427,427,0
diff_19,2,266,11,11,427,427,0
diff_20,2,266,11,11,427,429,0
diff_21,42,265,11,11,429,445,0
diff_22,1,278,11,11,445,445,0
diff_23,7,278,11,11,445,449,0
diff_24,3,281,11,11,449,451,0
diff_25,6,282,11,11,451,455,0
diff_26,10,284,11,11,455,465,0
diff_27,10,284,11,11,465,455,0
diff_28,0,284,11,11,455,455,0
diff_29,0,284,11,11,455,455,0
diff_30,0,284,11,11,455,455,0
diff_31,0,284,11,11,455,455,0
diff_32,0,284,11,11,455,455,0
diff_33,0,284,11,11,455,455,0
diff_34,0,284,11,11,455,455,0
diff_35,14,284,11,11,455,455,0
diff_36,0,284,11,11,455,455,0
diff_37,172,261,11,9,455,470,0
diff_38,0,293,9,9,470,470,0
diff_39,6,293,9,9,470,472,0
diff_40,5,293,9,9,472,470,0
diff_41,42,293,9,9,470,494,0
diff_42,29,311,9,9,494,516,0
diff_43,0,324,9,9,516,516,0
diff_44,2,324,9,9,516,518,0
diff_45,13,325,9,9,518,529,0
diff_46,2,331,9,9,529,530,0
diff_47,2,331,9,9,530,528,0
diff_48,4,331,9,9,528,532,0
diff_49,0,333,9,9,532,532,0
diff_50,0,333,9,9,532,532,0
diff_51,0,333,9,9,532,532,0
diff_52,0,333,9,9,532,532,0
diff_53,0,333,9,9,532,532,0
diff_54,0,333,9,9,532,532,0
diff_55,28,333,9,10,532,554,0
diff_56,12,344,10,10,554,561,0
diff_57,21,345,10,10,561,569,0
diff_58,0,353,10,10,569,569,0
diff_59,0,353,10,10,569,569,0
diff_60,0,353,10,10,569,569,0
diff_61,0,353,10,10,569,569,0
