Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,40,46,6,6,70,74,0
diff_1,97,43,6,7,74,97,0
diff_2,91,66,7,7,97,128,0
diff_3,38,90,7,7,128,128,0
diff_4,38,90,7,7,128,128,0
diff_5,38,90,7,7,128,128,0
diff_6,127,76,7,7,128,144,0
diff_7,78,103,7,7,144,160,0
diff_8,144,101,7,7,160,173,0
diff_9,154,100,7,7,173,150,0
diff_10,66,115,7,7,150,169,0
diff_11,31,130,7,7,169,169,0
diff_12,33,130,7,8,169,171,0
diff_13,35,131,8,8,171,173,0
diff_14,34,132,8,8,173,173,0
diff_15,82,129,8,8,173,195,0
diff_16,54,145,8,8,195,204,0
diff_17,37,150,8,8,204,204,0
diff_18,36,150,8,8,204,204,0
diff_19,36,150,8,8,204,204,0
diff_20,80,146,8,8,204,218,0
diff_21,36,164,8,8,218,218,0
diff_22,43,164,8,8,218,222,0
diff_23,38,167,8,8,222,222,0
diff_24,160,167,8,10,222,293,0
diff_25,96,208,10,10,293,293,0
diff_26,202,181,10,10,293,275,0
diff_27,48,205,10,10,275,275,0
diff_28,204,184,10,10,275,310,0
diff_29,48,238,10,10,310,310,0
diff_30,118,238,10,10,310,353,0
diff_31,53,267,10,10,353,355,0
diff_32,52,268,10,10,355,355,0
diff_33,52,268,10,10,355,355,0
diff_34,52,268,10,10,355,355,0
diff_35,125,240,10,10,355,320,0
diff_36,158,227,10,10,320,327,0
diff_37,46,243,10,10,327,327,0
diff_38,57,243,10,10,327,332,0
diff_39,121,246,10,10,332,367,0
diff_40,49,275,10,10,367,367,0
diff_41,181,261,10,10,367,401,0
diff_42,56,294,10,10,401,395,0
diff_43,48,294,10,10,395,395,0
diff_44,54,293,10,10,395,395,0
diff_45,214,276,10,10,395,442,0
diff_46,48,341,10,10,442,442,0
diff_47,66,341,10,10,442,453,0
diff_48,48,350,10,10,453,453,0
diff_49,48,350,10,10,453,453,0
diff_50,48,350,10,10,453,453,0
diff_51,74,350,10,10,453,468,0
diff_52,50,362,10,10,468,468,0
diff_53,81,362,10,10,468,479,0
diff_54,61,366,10,10,479,475,0
diff_55,72,362,10,10,475,468,0
diff_56,62,359,10,10,468,468,0
diff_57,50,362,10,10,468,468,0
diff_58,50,362,10,10,468,468,0
diff_59,58,360,10,10,468,468,0
diff_60,56,359,10,10,468,465,0
diff_61,62,356,10,10,465,465,0
diff_62,50,359,10,10,465,465,0
diff_63,72,357,10,10,465,472,0
diff_64,50,365,10,10,472,472,0
diff_65,56,365,10,10,472,475,0
diff_66,50,368,10,10,475,475,0
diff_67,62,368,10,10,475,481,0
diff_68,50,374,10,10,481,481,0
diff_69,74,368,10,10,481,481,0
diff_70,170,362,10,10,481,512,0
diff_71,59,400,10,10,512,516,0
diff_72,64,400,10,10,516,516,0
diff_73,89,399,10,10,516,524,0
diff_74,52,409,10,10,524,524,0
diff_75,52,409,10,10,524,524,0
diff_76,52,409,10,10,524,524,0
diff_77,52,409,10,10,524,524,0
diff_78,52,409,10,10,524,524,0
diff_79,52,409,10,10,524,524,0
diff_80,52,409,10,10,524,524,0
diff_81,52,409,10,10,524,524,0
diff_82,52,409,10,10,524,524,0
diff_83,52,409,10,10,524,524,0
diff_84,52,409,10,10,524,524,0
diff_85,52,409,10,10,524,524,0
diff_86,52,409,10,10,524,524,0
diff_87,61,409,10,10,524,524,0
diff_88,90,405,10,10,524,536,0
diff_89,82,411,10,10,536,533,0
diff_90,66,414,10,10,533,537,0
diff_91,52,419,10,10,537,537,0
diff_92,53,419,10,10,537,537,0
diff_93,52,419,10,10,537,537,0
diff_94,52,419,10,10,537,537,0
diff_95,82,419,10,10,537,547,0
diff_96,52,429,10,10,547,547,0
diff_97,61,427,10,10,547,546,0
diff_98,53,428,10,10,546,546,0
diff_99,77,418,10,10,546,536,0
diff_100,52,418,10,10,536,536,0
diff_101,52,418,10,10,536,536,0
diff_102,54,418,10,10,536,537,0
diff_103,52,419,10,10,537,537,0
diff_104,52,419,10,10,537,537,0
diff_105,52,419,10,10,537,537,0
diff_106,52,419,10,10,537,537,0
diff_107,52,419,10,10,537,537,0
diff_108,52,419,10,10,537,537,0
diff_109,52,419,10,10,537,537,0
diff_110,61,419,10,10,537,542,0
diff_111,78,417,10,10,542,542,0
diff_112,54,423,10,10,542,542,0
diff_113,66,420,10,10,542,542,0
diff_114,54,423,10,10,542,542,0
diff_115,94,420,10,10,542,558,0
diff_116,54,435,10,10,558,558,0
diff_117,54,435,10,10,558,558,0
diff_118,54,435,10,10,558,558,0
diff_119,54,435,10,10,558,558,0
diff_120,88,435,10,10,558,577,0
diff_121,71,450,10,10,577,586,0
diff_122,70,454,10,10,586,586,0
diff_123,58,455,10,10,586,586,0
diff_124,58,455,10,10,586,586,0
diff_125,58,455,10,10,586,586,0
diff_126,58,455,10,10,586,586,0
diff_127,58,455,10,10,586,586,0
diff_128,58,455,10,10,586,586,0
