Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,6,80,11,11,132,132,0
diff_1,2,81,11,11,132,134,0
diff_2,13,82,11,11,134,140,0
diff_3,0,88,11,11,140,140,0
diff_4,0,88,11,11,140,140,0
diff_5,0,88,11,11,140,140,0
diff_6,0,88,11,11,140,140,0
diff_7,0,88,11,11,140,140,0
diff_8,0,88,11,11,140,140,0
diff_9,0,88,11,11,140,140,0
diff_10,4,88,11,11,140,140,0
diff_11,0,88,11,11,140,140,0
diff_12,0,88,11,11,140,140,0
diff_13,0,88,11,11,140,140,0
diff_14,0,88,11,11,140,140,0
diff_15,0,88,11,11,140,140,0
diff_16,0,88,11,11,140,140,0
diff_17,0,88,11,11,140,140,0
diff_18,0,88,11,11,140,140,0
diff_19,0,88,11,11,140,140,0
diff_20,0,88,11,11,140,140,0
diff_21,0,88,11,11,140,140,0
diff_22,0,88,11,11,140,140,0
