Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,30,2677,9,9,3268,3268,0
diff_1,32,2677,9,9,3268,3268,0
diff_2,42,2677,9,9,3268,3268,0
diff_3,41,2677,9,9,3268,3268,0
diff_4,44,2674,9,9,3268,3269,0
diff_5,30,2678,9,9,3269,3269,0
diff_6,40,2678,9,9,3269,3274,0
diff_7,39,2678,9,9,3274,3271,0
diff_8,32,2678,9,9,3271,3271,0
diff_9,39,2678,9,9,3271,3274,0
diff_10,45,2682,9,9,3274,3274,0
diff_11,95,2670,9,9,3274,3280,0
diff_12,33,2688,9,9,3280,3280,0
diff_13,33,2688,9,9,3280,3280,0
diff_14,77,2684,9,9,3280,3295,0
diff_15,41,2701,9,9,3295,3300,0
diff_16,174,2681,9,9,3300,3322,0
diff_17,47,2721,9,9,3322,3322,0
diff_18,22,2727,9,9,3322,3322,0
diff_19,27,2727,9,9,3322,3327,0
diff_20,22,2727,9,9,3327,3327,0
diff_21,22,2727,9,9,3327,3327,0
diff_22,27,2727,9,9,3327,3327,0
diff_23,101,2727,9,9,3327,3327,0
diff_24,25,2727,9,9,3327,3327,0
diff_25,22,2727,9,9,3327,3327,0
diff_26,22,2727,9,9,3327,3327,0
diff_27,22,2727,9,9,3327,3327,0
diff_28,22,2727,9,9,3327,3327,0
diff_29,39,2723,9,9,3327,3327,0
diff_30,22,2727,9,9,3327,3327,0
diff_31,24,2727,9,9,3327,3329,0
diff_32,22,2727,9,9,3329,3329,0
