Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,8,14,6,6,27,27,0
diff_1,12,12,6,6,27,23,0
diff_2,7,12,6,6,23,23,0
diff_3,8,12,6,6,23,23,0
diff_4,8,12,6,6,23,23,0
diff_5,11,12,6,6,23,25,0
diff_6,88,6,6,9,25,43,0
diff_7,34,21,9,9,43,35,0
diff_8,24,21,9,9,35,36,0
diff_9,6,25,9,9,36,36,0
diff_10,6,25,9,9,36,36,0
diff_11,6,25,9,9,36,36,0
diff_12,6,25,9,9,36,36,0
diff_13,6,25,9,9,36,36,0
diff_14,6,25,9,9,36,36,0
diff_15,6,25,9,9,36,36,0
diff_16,6,25,9,9,36,36,0
