Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,189,5766,11,11,8017,8107,0
diff_1,508,5704,11,11,8107,8091,0
diff_2,84,5813,11,11,8091,8091,0
diff_3,76,5813,11,11,8091,8091,0
diff_4,38,5813,11,11,8091,8091,0
diff_5,70,5803,11,11,8091,8080,0
diff_6,23,5815,11,11,8080,8091,0
diff_7,3,5823,11,11,8091,8091,0
diff_8,3,5823,11,11,8091,8091,0
diff_9,2,5823,11,11,8091,8091,0
diff_10,35,5823,11,11,8091,8108,0
diff_11,10,5835,11,11,8108,8114,0
diff_12,4,5839,11,11,8114,8116,0
diff_13,28,5834,11,11,8116,8116,0
diff_14,317,5801,11,11,8116,8201,0
diff_15,339,5865,11,12,8201,8219,0
diff_16,6,5917,12,12,8219,8219,0
diff_17,359,5917,12,12,8219,8491,0
diff_18,79,6044,12,12,8491,8498,0
diff_19,26,6057,12,12,8498,8498,0
diff_20,320,5997,12,12,8498,8518,0
diff_21,146,6061,12,12,8518,8592,0
diff_22,27,6103,12,12,8592,8591,0
diff_23,27,6103,12,12,8591,8591,0
diff_24,90,6088,12,12,8591,8586,0
diff_25,47,6096,12,12,8586,8586,0
diff_26,26,6100,12,12,8586,8586,0
diff_27,64,6095,12,12,8586,8594,0
diff_28,31,6106,12,12,8594,8594,0
diff_29,27,6106,12,12,8594,8594,0
diff_30,32,6106,12,12,8594,8598,0
diff_31,27,6108,12,12,8598,8598,0
diff_32,33,6108,12,12,8598,8604,0
diff_33,45,6106,12,12,8604,8598,0
diff_34,29,6106,12,12,8598,8599,0
diff_35,32,6106,12,12,8599,8601,0
diff_36,40,6106,12,12,8601,8605,0
diff_37,71,6105,12,12,8605,8623,0
diff_38,104,6118,12,12,8623,8623,0
diff_39,34,6118,12,12,8623,8623,0
diff_40,228,6118,12,12,8623,8623,0
diff_41,68,6112,12,12,8623,8624,0
diff_42,248,6085,12,12,8624,8642,0
diff_43,58,6123,12,12,8642,8642,0
diff_44,38,6128,12,12,8642,8642,0
diff_45,117,6128,12,12,8642,8701,0
diff_46,46,6163,12,12,8701,8707,0
diff_47,72,6155,12,12,8707,8690,0
diff_48,196,6142,12,12,8690,8682,0
diff_49,39,6150,12,12,8682,8682,0
diff_50,1092,5886,12,12,8682,8682,0
diff_51,1091,5886,12,12,8682,8681,0
diff_52,1163,5868,12,12,8681,8681,0
diff_53,2436,5432,12,12,8681,8449,0
diff_54,148,5890,12,12,8449,8449,0
diff_55,41,5918,12,12,8449,8449,0
diff_56,55,5918,12,12,8449,8463,0
diff_57,66,5927,12,12,8463,8487,0
diff_58,58,5942,12,12,8487,8487,0
diff_59,484,5942,12,12,8487,8711,0
diff_60,52,6162,12,12,8711,8711,0
diff_61,512,6066,12,12,8711,8749,0
diff_62,73,6198,12,12,8749,8755,0
diff_63,36,6208,12,12,8755,8755,0
diff_64,36,6208,12,12,8755,8755,0
diff_65,36,6208,12,12,8755,8755,0
diff_66,36,6208,12,12,8755,9559,0
diff_67,36,6208,12,12,9559,9559,0
diff_68,36,6208,12,12,9559,9559,0
diff_69,36,6208,12,12,9559,9559,0
diff_70,36,6208,12,12,9559,9559,0
diff_71,36,6208,12,12,9559,9559,0
diff_72,36,6208,12,12,9559,9559,0
diff_73,46,6208,12,12,9559,9565,0
diff_74,49,6212,12,12,9565,9579,0
diff_75,46,6218,12,12,9579,9581,0
diff_76,3782,6220,12,12,9581,11453,0
diff_77,63,8092,12,12,11453,11459,0
diff_78,38,8095,12,12,11459,11459,0
diff_79,38,8095,12,12,11459,11459,0
diff_80,122,8095,12,12,11459,11510,0
diff_81,254,8122,12,12,11510,11594,0
diff_82,38,8218,12,12,11594,11594,0
diff_83,611,8158,12,12,11594,11828,0
diff_84,38,8374,12,12,11828,11828,0
diff_85,38,8374,12,12,11828,11828,0
diff_86,38,8374,12,12,11828,11828,0
diff_87,38,8374,12,12,11828,11828,0
diff_88,38,8374,12,12,11828,11828,0
diff_89,6492,6922,12,11,11828,12160,0
diff_90,47,8609,11,11,12160,12160,0
diff_91,38,8611,11,11,12160,12160,0
diff_92,436,8523,11,11,12160,12171,0
diff_93,38,8621,11,11,12171,12171,0
diff_94,44,8621,11,11,12171,12171,0
diff_95,38,8621,11,11,12171,12171,0
diff_96,46,8619,11,11,12171,12171,0
diff_97,39,8621,11,11,12171,12171,0
diff_98,50,8621,11,11,12171,12177,0
diff_99,38,8627,11,11,12177,12177,0
diff_100,54,8627,11,11,12177,12186,0
diff_101,39,8634,11,11,12186,12186,0
diff_102,48,8631,11,11,12186,12185,0
diff_103,146,8633,11,11,12185,12239,0
diff_104,8410,6597,11,11,12239,12245,0
diff_105,8422,6597,11,11,12245,12245,0
diff_106,38,8693,11,11,12245,12245,0
diff_107,15072,5148,11,11,12245,12720,0
diff_108,39,9027,11,11,12720,12720,0
diff_109,574,8893,11,11,12720,12720,0
diff_110,206,9027,11,11,12720,12804,0
diff_111,82,9100,11,11,12804,12804,0
diff_112,38,9111,11,11,12804,12804,0
diff_113,39,9111,11,11,12804,12804,0
diff_114,52,9111,11,11,12804,12812,0
diff_115,44,9117,11,11,12812,12812,0
diff_116,107,9101,11,11,12812,12813,0
diff_117,40,9118,11,11,12813,12813,0
