Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,112,326,11,11,618,618,0
diff_1,38,338,11,11,618,623,0
diff_2,29,342,11,11,623,625,0
diff_3,25,343,11,11,625,627,0
diff_4,50,342,11,11,627,639,0
diff_5,60,341,11,11,639,640,0
diff_6,32,348,11,11,640,643,0
diff_7,25,351,11,11,643,643,0
diff_8,32,351,11,11,643,648,0
diff_9,29,354,11,11,648,651,0
diff_10,110,356,11,11,651,744,0
diff_11,82,385,11,11,744,739,0
diff_12,165,390,11,11,739,820,0
diff_13,43,439,11,11,820,824,0
diff_14,36,442,11,11,824,824,0
diff_15,73,442,11,11,824,852,0
diff_16,142,458,11,11,852,932,0
diff_17,58,503,11,11,932,932,0
diff_18,58,503,11,11,932,932,0
diff_19,60,503,11,11,932,933,0
diff_20,59,504,11,11,933,933,0
diff_21,70,501,11,11,933,933,0
diff_22,67,504,11,11,933,941,0
diff_23,59,508,11,11,941,941,0
diff_24,67,508,11,11,941,947,0
diff_25,71,511,11,11,947,961,0
diff_26,60,517,11,11,961,961,0
diff_27,78,514,11,11,961,969,0
