Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,124,206,12,12,680,708,0
diff_1,114,213,12,12,708,708,0
diff_2,154,214,12,12,708,769,0
diff_3,156,232,12,12,769,799,0
diff_4,124,247,12,12,799,799,0
diff_5,124,247,12,12,799,799,0
diff_6,129,247,12,12,799,803,0
diff_7,167,248,12,12,803,863,0
diff_8,162,263,12,12,863,879,0
diff_9,171,270,12,12,879,913,0
diff_10,146,281,12,12,913,913,0
diff_11,146,281,12,12,913,913,0
diff_12,362,227,12,12,913,913,0
diff_13,181,280,12,12,913,945,0
diff_14,156,291,12,12,945,945,0
diff_15,156,291,12,12,945,945,0
diff_16,162,290,12,12,945,945,0
diff_17,159,291,12,12,945,947,0
diff_18,175,292,12,12,947,972,0
diff_19,162,299,12,12,972,972,0
diff_20,169,299,12,12,972,978,0
diff_21,197,302,12,12,978,1026,0
diff_22,191,315,12,12,1026,1058,0
diff_23,175,324,12,12,1058,1058,0
diff_24,448,260,12,12,1058,1092,0
diff_25,181,332,12,12,1092,1092,0
diff_26,185,332,12,12,1092,1094,0
diff_27,200,333,12,12,1094,1120,0
diff_28,187,340,12,12,1120,1120,0
diff_29,241,315,12,12,1120,1036,0
diff_30,178,315,12,12,1036,1036,0
diff_31,218,315,12,12,1036,1060,0
diff_32,202,331,12,12,1060,1068,0
diff_33,485,183,12,12,1068,581,0
diff_34,149,175,12,12,581,563,0
diff_35,137,178,12,12,563,541,0
diff_36,102,184,12,12,541,541,0
diff_37,311,119,12,12,541,473,0
diff_38,121,151,12,12,473,513,0
diff_39,104,160,12,12,513,513,0
diff_40,104,160,12,12,513,513,0
diff_41,104,160,12,12,513,513,0
diff_42,104,160,12,12,513,513,0
diff_43,104,160,12,12,513,513,0
diff_44,104,160,12,12,513,513,0
diff_45,104,160,12,12,513,513,0
diff_46,104,160,12,12,513,513,0
diff_47,104,160,12,12,513,513,0
diff_48,104,160,12,12,513,513,0
diff_49,104,160,12,12,513,513,0
diff_50,104,160,12,12,513,513,0
diff_51,104,160,12,12,513,513,0
diff_52,104,160,12,12,513,513,0
diff_53,104,160,12,12,513,513,0
diff_54,104,160,12,12,513,513,0
diff_55,104,160,12,12,513,513,0
diff_56,104,160,12,12,513,513,0
diff_57,104,160,12,12,513,513,0
