Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,96,143,9,9,221,221,0
diff_1,110,141,9,9,221,223,0
diff_2,98,145,9,9,223,223,0
diff_3,99,145,9,9,223,223,0
diff_4,123,130,9,9,223,199,0
diff_5,87,130,9,9,199,201,0
diff_6,86,131,9,9,201,201,0
diff_7,89,131,9,9,201,203,0
diff_8,86,132,9,9,203,203,0
diff_9,90,131,9,9,203,203,0
diff_10,122,132,9,9,203,221,0
diff_11,111,144,9,9,221,221,0
diff_12,103,146,9,9,221,223,0
diff_13,89,151,9,9,223,223,0
diff_14,89,151,9,9,223,223,0
diff_15,89,151,9,9,223,223,0
diff_16,101,148,9,9,223,223,0
