Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,30,52,9,9,85,85,0
diff_1,30,52,9,9,85,85,0
diff_2,30,52,9,9,85,85,0
diff_3,30,52,9,9,85,85,0
diff_4,30,52,9,9,85,85,0
diff_5,30,52,9,9,85,85,0
diff_6,30,52,9,9,85,85,0
diff_7,31,52,9,9,85,86,0
diff_8,60,38,9,9,86,72,0
diff_9,32,38,9,9,72,72,0
diff_10,44,38,9,9,72,80,0
diff_11,38,42,9,9,80,80,0
diff_12,38,42,9,9,80,80,0
diff_13,38,42,9,9,80,80,0
diff_14,38,42,9,9,80,80,0
diff_15,38,42,9,9,80,80,0
diff_16,38,42,9,9,80,80,0
diff_17,38,42,9,9,80,80,0
diff_18,38,42,9,9,80,80,0
diff_19,38,42,9,9,80,80,0
diff_20,38,42,9,9,80,80,0
diff_21,38,42,9,9,80,80,0
diff_22,38,42,9,9,80,80,0
diff_23,38,42,9,9,80,80,0
diff_24,38,42,9,9,80,80,0
diff_25,38,42,9,9,80,80,0
diff_26,38,42,9,9,80,80,0
diff_27,38,42,9,9,80,80,0
diff_28,38,42,9,9,80,80,0
diff_29,38,42,9,9,80,80,0
diff_30,38,42,9,9,80,80,0
diff_31,38,42,9,9,80,80,0
diff_32,38,42,9,9,80,80,0
diff_33,38,42,9,9,80,80,0
diff_34,38,42,9,9,80,80,0
diff_35,38,42,9,9,80,80,0
diff_36,38,42,9,9,80,80,0
diff_37,38,42,9,9,80,80,0
diff_38,38,42,9,9,80,80,0
diff_39,38,42,9,9,80,80,0
diff_40,37,42,9,9,80,79,0
diff_41,36,42,9,9,79,79,0
diff_42,36,42,9,9,79,79,0
diff_43,36,42,9,9,79,79,0
diff_44,36,42,9,9,79,79,0
diff_45,36,42,9,9,79,79,0
diff_46,36,42,9,9,79,79,0
diff_47,36,42,9,9,79,79,0
diff_48,36,42,9,9,79,79,0
diff_49,36,42,9,9,79,79,0
diff_50,36,42,9,9,79,79,0
diff_51,36,42,9,9,79,79,0
diff_52,36,42,9,9,79,79,0
diff_53,36,42,9,9,79,79,0
diff_54,36,42,9,9,79,79,0
diff_55,36,42,9,9,79,79,0
diff_56,36,42,9,9,79,79,0
diff_57,36,42,9,9,79,79,0
diff_58,36,42,9,9,79,79,0
diff_59,36,42,9,9,79,79,0
diff_60,36,42,9,9,79,79,0
