Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,30,62,10,10,100,100,0
diff_1,30,62,10,10,100,100,0
diff_2,30,62,10,10,100,100,0
diff_3,30,62,10,10,100,100,0
diff_4,30,62,10,10,100,100,0
diff_5,30,62,10,10,100,100,0
diff_6,30,62,10,10,100,100,0
diff_7,30,62,10,10,100,100,0
diff_8,33,62,10,10,100,102,0
diff_9,60,49,10,10,102,88,0
diff_10,32,49,10,10,88,88,0
diff_11,32,49,10,10,88,88,0
diff_12,32,49,10,10,88,88,0
diff_13,32,49,10,10,88,88,0
diff_14,32,49,10,10,88,88,0
diff_15,32,49,10,10,88,88,0
diff_16,32,49,10,10,88,88,0
diff_17,32,49,10,10,88,88,0
diff_18,32,49,10,10,88,88,0
diff_19,32,49,10,10,88,88,0
diff_20,32,49,10,10,88,88,0
diff_21,32,49,10,10,88,88,0
diff_22,32,49,10,10,88,88,0
diff_23,32,49,10,10,88,88,0
diff_24,32,49,10,10,88,88,0
diff_25,32,49,10,10,88,88,0
diff_26,32,49,10,10,88,88,0
diff_27,32,49,10,10,88,88,0
diff_28,32,49,10,10,88,88,0
diff_29,32,49,10,10,88,88,0
diff_30,32,49,10,10,88,88,0
diff_31,32,49,10,10,88,88,0
diff_32,32,49,10,10,88,88,0
diff_33,32,49,10,10,88,88,0
diff_34,32,49,10,10,88,88,0
diff_35,32,49,10,10,88,88,0
diff_36,32,49,10,10,88,88,0
diff_37,32,49,10,10,88,88,0
diff_38,32,49,10,10,88,88,0
diff_39,32,49,10,10,88,88,0
diff_40,32,49,10,10,88,88,0
diff_41,32,49,10,10,88,88,0
diff_42,32,49,10,10,88,88,0
diff_43,32,49,10,10,88,88,0
diff_44,32,49,10,10,88,88,0
diff_45,32,49,10,10,88,88,0
diff_46,32,49,10,10,88,88,0
diff_47,32,49,10,10,88,88,0
diff_48,32,49,10,10,88,88,0
diff_49,32,49,10,10,88,88,0
diff_50,32,49,10,10,88,88,0
diff_51,32,49,10,10,88,88,0
diff_52,74,49,10,10,88,112,0
diff_53,46,60,10,10,112,112,0
diff_54,46,60,10,10,112,112,0
diff_55,170,8,10,5,112,15,0
diff_56,4,8,5,5,15,15,0
diff_57,4,8,5,5,15,15,0
diff_58,4,8,5,5,15,15,0
diff_59,4,8,5,5,15,15,0
diff_60,4,8,5,5,15,15,0
diff_61,4,8,5,5,15,15,0
diff_62,4,8,5,5,15,15,0
diff_63,4,8,5,5,15,15,0
diff_64,4,8,5,5,15,15,0
diff_65,4,8,5,5,15,15,0
diff_66,4,8,5,5,15,15,0
diff_67,4,8,5,5,15,15,0
diff_68,4,8,5,5,15,15,0
diff_69,4,8,5,5,15,15,0
diff_70,4,8,5,5,15,15,0
diff_71,4,8,5,5,15,15,0
diff_72,4,8,5,5,15,15,0
diff_73,4,8,5,5,15,15,0
diff_74,4,8,5,5,15,15,0
diff_75,4,8,5,5,15,15,0
diff_76,4,8,5,5,15,15,0
diff_77,4,8,5,5,15,15,0
diff_78,4,8,5,5,15,15,0
diff_79,4,8,5,5,15,15,0
diff_80,4,8,5,5,15,15,0
diff_81,4,8,5,5,15,15,0
diff_82,4,8,5,5,15,15,0
diff_83,4,8,5,5,15,15,0
diff_84,4,8,5,5,15,15,0
diff_85,4,8,5,5,15,15,0
diff_86,4,8,5,5,15,15,0
diff_87,4,8,5,5,15,15,0
diff_88,4,8,5,5,15,15,0
diff_89,4,8,5,5,15,15,0
diff_90,4,8,5,5,15,15,0
diff_91,4,8,5,5,15,15,0
diff_92,4,8,5,5,15,15,0
diff_93,4,8,5,5,15,15,0
diff_94,4,8,5,5,15,15,0
diff_95,4,8,5,5,15,15,0
diff_96,4,8,5,5,15,15,0
diff_97,4,8,5,5,15,15,0
diff_98,4,8,5,5,15,15,0
diff_99,4,8,5,5,15,15,0
diff_100,4,8,5,5,15,15,0
diff_101,4,8,5,5,15,15,0
diff_102,4,8,5,5,15,15,0
diff_103,4,8,5,5,15,15,0
