Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,16,15,7,7,29,29,0
diff_1,16,15,7,7,29,29,0
diff_2,16,15,7,7,29,29,0
diff_3,16,15,7,7,29,29,0
diff_4,16,15,7,7,29,29,0
diff_5,16,15,7,7,29,29,0
diff_6,16,15,7,7,29,29,0
diff_7,15,15,7,7,29,28,0
diff_8,74,13,7,8,28,55,0
diff_9,14,41,8,8,55,55,0
diff_10,14,41,8,8,55,55,0
diff_11,14,41,8,8,55,55,0
diff_12,14,41,8,8,55,55,0
diff_13,14,41,8,8,55,55,0
diff_14,14,41,8,8,55,55,0
diff_15,14,41,8,8,55,55,0
diff_16,40,41,8,8,55,71,0
diff_17,18,53,8,8,71,71,0
diff_18,18,53,8,8,71,71,0
diff_19,18,53,8,8,71,71,0
diff_20,19,53,8,8,71,71,0
diff_21,18,53,8,8,71,71,0
diff_22,18,53,8,8,71,71,0
diff_23,18,53,8,8,71,71,0
diff_24,18,53,8,8,71,71,0
diff_25,32,53,8,8,71,79,0
diff_26,30,57,8,8,79,79,0
diff_27,22,59,8,8,79,79,0
diff_28,22,59,8,8,79,79,0
diff_29,22,59,8,8,79,79,0
diff_30,22,59,8,8,79,79,0
diff_31,22,59,8,8,79,79,0
diff_32,22,59,8,8,79,79,0
diff_33,22,59,8,8,79,79,0
diff_34,22,59,8,8,79,79,0
diff_35,22,59,8,8,79,79,0
diff_36,34,56,8,8,79,79,0
diff_37,22,59,8,8,79,79,0
diff_38,22,59,8,8,79,79,0
diff_39,22,59,8,8,79,79,0
diff_40,22,59,8,8,79,79,0
diff_41,22,59,8,8,79,79,0
diff_42,22,59,8,8,79,79,0
diff_43,22,59,8,8,79,79,0
diff_44,22,59,8,8,79,79,0
diff_45,22,59,8,8,79,79,0
diff_46,22,59,8,8,79,79,0
diff_47,22,59,8,8,79,79,0
diff_48,22,59,8,8,79,79,0
diff_49,68,52,8,8,79,86,0
diff_50,24,63,8,8,86,86,0
diff_51,24,63,8,8,86,86,0
diff_52,24,63,8,8,86,86,0
diff_53,24,63,8,8,86,86,0
diff_54,24,63,8,8,86,86,0
diff_55,24,63,8,8,86,86,0
diff_56,24,63,8,8,86,86,0
diff_57,24,63,8,8,86,86,0
diff_58,24,63,8,8,86,86,0
diff_59,24,63,8,8,86,86,0
diff_60,24,63,8,8,86,86,0
diff_61,24,63,8,8,86,86,0
diff_62,24,63,8,8,86,86,0
diff_63,24,63,8,8,86,86,0
diff_64,24,63,8,8,86,86,0
diff_65,24,63,8,8,86,86,0
diff_66,24,63,8,8,86,86,0
diff_67,24,63,8,8,86,86,0
diff_68,24,63,8,8,86,86,0
diff_69,24,63,8,8,86,86,0
diff_70,24,63,8,8,86,86,0
diff_71,24,63,8,8,86,86,0
diff_72,24,63,8,8,86,86,0
diff_73,24,63,8,8,86,86,0
diff_74,24,63,8,8,86,86,0
diff_75,24,63,8,8,86,86,0
diff_76,24,63,8,8,86,86,0
diff_77,24,63,8,8,86,86,0
diff_78,24,63,8,8,86,86,0
diff_79,24,63,8,8,86,86,0
diff_80,24,63,8,8,86,86,0
diff_81,24,63,8,8,86,86,0
diff_82,24,63,8,8,86,86,0
diff_83,24,63,8,8,86,86,0
diff_84,24,63,8,8,86,86,0
diff_85,24,63,8,8,86,86,0
diff_86,24,63,8,8,86,86,0
diff_87,24,63,8,8,86,86,0
diff_88,24,63,8,8,86,86,0
diff_89,24,63,8,8,86,86,0
diff_90,24,63,8,8,86,86,0
diff_91,24,63,8,8,86,86,0
diff_92,24,63,8,8,86,86,0
diff_93,24,63,8,8,86,86,0
diff_94,24,63,8,8,86,86,0
diff_95,24,63,8,8,86,86,0
diff_96,24,63,8,8,86,86,0
diff_97,24,63,8,8,86,86,0
diff_98,24,63,8,8,86,86,0
diff_99,24,63,8,8,86,86,0
diff_100,24,63,8,8,86,86,0
diff_101,24,63,8,8,86,86,0
diff_102,24,63,8,8,86,86,0
diff_103,24,63,8,8,86,86,0
diff_104,24,63,8,8,86,86,0
diff_105,24,63,8,8,86,86,0
diff_106,24,63,8,8,86,86,0
diff_107,24,63,8,8,86,86,0
diff_108,24,63,8,8,86,86,0
diff_109,24,63,8,8,86,86,0
diff_110,24,63,8,8,86,86,0
diff_111,24,63,8,8,86,86,0
diff_112,24,63,8,8,86,86,0
diff_113,24,63,8,8,86,86,0
diff_114,24,63,8,8,86,86,0
diff_115,24,63,8,8,86,86,0
diff_116,24,63,8,8,86,86,0
diff_117,24,63,8,8,86,86,0
diff_118,24,63,8,8,86,86,0
diff_119,24,63,8,8,86,86,0
diff_120,24,63,8,8,86,86,0
diff_121,24,63,8,8,86,86,0
diff_122,24,63,8,8,86,86,0
diff_123,24,63,8,8,86,86,0
diff_124,31,62,8,8,86,86,0
diff_125,24,63,8,8,86,86,0
diff_126,24,63,8,8,86,86,0
diff_127,24,63,8,8,86,86,0
diff_128,24,63,8,8,86,86,0
diff_129,24,63,8,8,86,86,0
diff_130,24,63,8,8,86,86,0
diff_131,24,63,8,8,86,86,0
diff_132,24,63,8,8,86,86,0
diff_133,24,63,8,8,86,86,0
diff_134,24,63,8,8,86,86,0
diff_135,24,63,8,8,86,86,0
diff_136,24,63,8,8,86,86,0
diff_137,24,63,8,8,86,86,0
diff_138,24,63,8,8,86,86,0
diff_139,24,63,8,8,86,86,0
diff_140,24,63,8,8,86,86,0
diff_141,24,63,8,8,86,86,0
diff_142,24,63,8,8,86,86,0
diff_143,24,63,8,8,86,86,0
diff_144,26,63,8,8,86,88,0
diff_145,24,64,8,8,88,88,0
diff_146,24,64,8,8,88,88,0
diff_147,24,64,8,8,88,88,0
diff_148,24,64,8,8,88,88,0
diff_149,24,64,8,8,88,88,0
diff_150,24,64,8,8,88,88,0
diff_151,24,64,8,8,88,88,0
diff_152,24,64,8,8,88,88,0
diff_153,24,64,8,8,88,88,0
diff_154,24,64,8,8,88,88,0
diff_155,24,64,8,8,88,88,0
diff_156,24,64,8,8,88,88,0
diff_157,24,64,8,8,88,88,0
diff_158,30,61,8,8,88,84,0
diff_159,30,58,8,8,84,80,0
diff_160,34,52,8,8,80,72,0
diff_161,27,52,8,8,72,76,0
diff_162,34,54,8,8,76,82,0
diff_163,24,59,8,8,82,82,0
diff_164,24,59,8,8,82,82,0
diff_165,24,59,8,8,82,82,0
diff_166,24,59,8,8,82,82,0
diff_167,24,59,8,8,82,82,0
diff_168,24,59,8,8,82,82,0
diff_169,24,59,8,8,82,82,0
diff_170,24,59,8,8,82,82,0
diff_171,24,59,8,8,82,82,0
diff_172,24,59,8,8,82,82,0
diff_173,24,59,8,8,82,82,0
diff_174,30,59,8,8,82,86,0
diff_175,35,61,8,8,86,90,0
diff_176,62,64,8,8,90,110,0
diff_177,50,74,8,8,110,110,0
diff_178,42,76,8,8,110,110,0
diff_179,42,76,8,8,110,110,0
diff_180,82,74,8,8,110,128,0
diff_181,47,90,8,8,128,130,0
diff_182,46,91,8,8,130,130,0
diff_183,46,91,8,8,130,130,0
diff_184,46,91,8,8,130,130,0
diff_185,46,91,8,8,130,130,0
diff_186,46,91,8,8,130,130,0
diff_187,186,87,8,10,130,203,0
diff_188,81,125,10,8,203,190,0
diff_189,92,120,8,8,190,181,0
diff_190,83,115,8,8,181,178,0
diff_191,105,110,8,8,178,182,0
diff_192,98,111,8,8,182,174,0
diff_193,67,114,8,8,174,175,0
diff_194,64,112,8,8,175,169,0
diff_195,242,74,8,7,169,164,0
diff_196,61,110,7,7,164,172,0
diff_197,55,114,7,7,172,170,0
diff_198,98,103,7,7,170,170,0
diff_199,124,91,7,7,170,161,0
diff_200,89,94,7,7,161,164,0
diff_201,195,92,7,7,164,218,0
diff_202,43,144,7,7,218,218,0
diff_203,342,88,7,7,218,256,0
diff_204,49,182,7,7,256,260,0
diff_205,62,182,7,7,260,264,0
diff_206,44,188,7,7,264,264,0
diff_207,44,188,7,7,264,264,0
diff_208,44,188,7,7,264,264,0
diff_209,44,188,7,7,264,264,0
diff_210,44,188,7,7,264,264,0
diff_211,44,188,7,7,264,264,0
diff_212,74,186,7,9,264,280,0
diff_213,174,192,9,9,280,360,0
diff_214,115,237,9,9,360,364,0
diff_215,310,247,9,9,364,566,0
diff_216,48,373,9,9,566,566,0
diff_217,64,365,9,9,566,558,0
diff_218,48,365,9,9,558,558,0
diff_219,48,365,9,9,558,558,0
diff_220,48,365,9,9,558,558,0
diff_221,48,365,9,9,558,558,0
diff_222,62,365,9,9,558,570,0
diff_223,54,372,9,9,570,574,0
diff_224,48,375,9,9,574,574,0
diff_225,48,375,9,9,574,574,0
diff_226,48,375,9,9,574,574,0
diff_227,64,371,9,9,574,574,0
diff_228,48,375,9,9,574,574,0
diff_229,56,375,9,9,574,578,0
diff_230,137,363,9,9,578,590,0
diff_231,48,385,9,9,590,590,0
diff_232,48,385,9,9,590,590,0
diff_233,56,383,9,9,590,590,0
diff_234,48,385,9,9,590,590,0
diff_235,48,385,9,9,590,590,0
diff_236,56,383,9,9,590,590,0
diff_237,48,385,9,9,590,590,0
diff_238,76,378,9,9,590,590,0
diff_239,48,385,9,9,590,590,0
diff_240,48,385,9,9,590,590,0
diff_241,55,385,9,9,590,594,0
diff_242,50,388,9,9,594,594,0
diff_243,50,388,9,9,594,594,0
diff_244,50,388,9,9,594,594,0
diff_245,50,388,9,9,594,594,0
diff_246,50,388,9,9,594,594,0
diff_247,50,388,9,9,594,594,0
diff_248,64,381,9,9,594,582,0
diff_249,50,381,9,9,582,582,0
diff_250,50,381,9,9,582,582,0
diff_251,50,381,9,9,582,582,0
