Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,44,43,7,7,73,73,0
diff_1,44,43,7,7,73,73,0
diff_2,44,43,7,7,73,73,0
diff_3,44,43,7,7,73,73,0
diff_4,44,43,7,7,73,73,0
diff_5,44,43,7,7,73,73,0
diff_6,44,43,7,7,73,73,0
diff_7,44,43,7,7,73,73,0
diff_8,44,43,7,7,73,73,0
diff_9,44,43,7,7,73,73,0
diff_10,47,43,7,7,73,75,0
diff_11,46,44,7,7,75,75,0
diff_12,46,44,7,7,75,75,0
diff_13,46,44,7,7,75,75,0
diff_14,46,44,7,7,75,75,0
diff_15,46,44,7,7,75,75,0
diff_16,46,44,7,7,75,75,0
diff_17,46,44,7,7,75,75,0
diff_18,46,44,7,7,75,75,0
diff_19,46,44,7,7,75,75,0
diff_20,46,44,7,7,75,75,0
diff_21,46,44,7,7,75,75,0
diff_22,46,44,7,7,75,75,0
diff_23,46,44,7,7,75,75,0
diff_24,46,44,7,7,75,75,0
diff_25,46,44,7,7,75,75,0
diff_26,46,44,7,7,75,75,0
diff_27,46,44,7,7,75,75,0
diff_28,46,44,7,7,75,75,0
diff_29,46,44,7,7,75,75,0
diff_30,46,44,7,7,75,75,0
diff_31,46,44,7,7,75,75,0
diff_32,46,44,7,7,75,75,0
diff_33,46,44,7,7,75,75,0
diff_34,46,44,7,7,75,75,0
diff_35,46,44,7,7,75,75,0
diff_36,46,44,7,7,75,75,0
diff_37,46,44,7,7,75,75,0
diff_38,46,44,7,7,75,75,0
diff_39,46,44,7,7,75,75,0
diff_40,46,44,7,7,75,75,0
diff_41,46,44,7,7,75,75,0
diff_42,46,44,7,7,75,75,0
diff_43,46,44,7,7,75,75,0
diff_44,46,44,7,7,75,75,0
diff_45,46,44,7,7,75,75,0
diff_46,46,44,7,7,75,75,0
diff_47,46,44,7,7,75,75,0
diff_48,46,44,7,7,75,75,0
diff_49,46,44,7,7,75,75,0
diff_50,46,44,7,7,75,75,0
diff_51,46,44,7,7,75,75,0
diff_52,46,44,7,7,75,75,0
diff_53,46,44,7,7,75,75,0
diff_54,46,44,7,7,75,75,0
diff_55,46,44,7,7,75,75,0
diff_56,46,44,7,7,75,75,0
diff_57,46,44,7,7,75,75,0
diff_58,46,44,7,7,75,75,0
diff_59,46,44,7,7,75,75,0
diff_60,46,44,7,7,75,75,0
diff_61,46,44,7,7,75,75,0
diff_62,46,44,7,7,75,75,0
diff_63,46,44,7,7,75,75,0
diff_64,46,44,7,7,75,75,0
diff_65,46,44,7,7,75,75,0
diff_66,46,44,7,7,75,75,0
diff_67,46,44,7,7,75,75,0
diff_68,46,44,7,7,75,75,0
diff_69,46,44,7,7,75,75,0
diff_70,46,44,7,7,75,75,0
diff_71,46,44,7,7,75,75,0
diff_72,46,44,7,7,75,75,0
diff_73,46,44,7,7,75,75,0
diff_74,46,44,7,7,75,75,0
diff_75,46,44,7,7,75,75,0
diff_76,46,44,7,7,75,75,0
diff_77,46,44,7,7,75,75,0
diff_78,46,44,7,7,75,75,0
diff_79,46,44,7,7,75,75,0
diff_80,46,44,7,7,75,75,0
diff_81,46,44,7,7,75,75,0
diff_82,46,44,7,7,75,75,0
diff_83,46,44,7,7,75,75,0
diff_84,46,44,7,7,75,75,0
diff_85,46,44,7,7,75,75,0
diff_86,46,44,7,7,75,75,0
diff_87,46,44,7,7,75,75,0
diff_88,46,44,7,7,75,75,0
diff_89,46,44,7,7,75,75,0
diff_90,46,44,7,7,75,75,0
diff_91,46,44,7,7,75,75,0
diff_92,46,44,7,7,75,75,0
diff_93,46,44,7,7,75,75,0
diff_94,46,44,7,7,75,75,0
diff_95,46,44,7,7,75,75,0
diff_96,46,44,7,7,75,75,0
diff_97,46,44,7,7,75,75,0
diff_98,46,44,7,7,75,75,0
diff_99,46,44,7,7,75,75,0
diff_100,46,44,7,7,75,75,0
diff_101,46,44,7,7,75,75,0
diff_102,46,44,7,7,75,75,0
diff_103,46,44,7,7,75,75,0
diff_104,46,44,7,7,75,75,0
