Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,20,26,7,7,41,41,0
diff_1,20,26,7,7,41,41,0
diff_2,20,26,7,7,41,41,0
diff_3,20,26,7,7,41,41,0
diff_4,20,26,7,7,41,41,0
diff_5,20,26,7,7,41,41,0
diff_6,20,26,7,7,41,41,0
diff_7,20,26,7,7,41,41,0
diff_8,20,26,7,7,41,41,0
diff_9,20,26,7,7,41,41,0
diff_10,20,26,7,7,41,41,0
diff_11,20,26,7,7,41,41,0
diff_12,20,26,7,7,41,41,0
diff_13,20,26,7,7,41,41,0
diff_14,20,26,7,7,41,41,0
diff_15,20,26,7,7,41,41,0
diff_16,20,26,7,7,41,41,0
diff_17,20,26,7,7,41,41,0
diff_18,20,26,7,7,41,41,0
diff_19,20,26,7,7,41,41,0
diff_20,20,26,7,7,41,41,0
diff_21,20,26,7,7,41,41,0
diff_22,20,26,7,7,41,41,0
diff_23,20,26,7,7,41,41,0
diff_24,20,26,7,7,41,41,0
diff_25,20,26,7,7,41,41,0
diff_26,20,26,7,7,41,41,0
diff_27,20,26,7,7,41,41,0
diff_28,20,26,7,7,41,41,0
diff_29,20,26,7,7,41,41,0
diff_30,20,26,7,7,41,41,0
diff_31,20,26,7,7,41,41,0
diff_32,20,26,7,7,41,41,0
diff_33,20,26,7,7,41,41,0
diff_34,20,26,7,7,41,41,0
diff_35,20,26,7,7,41,41,0
diff_36,20,26,7,7,41,41,0
diff_37,20,26,7,7,41,41,0
diff_38,20,26,7,7,41,41,0
diff_39,20,26,7,7,41,41,0
diff_40,20,26,7,7,41,41,0
diff_41,20,26,7,7,41,41,0
diff_42,20,26,7,7,41,41,0
diff_43,20,26,7,7,41,41,0
diff_44,20,26,7,7,41,41,0
diff_45,20,26,7,7,41,41,0
diff_46,20,26,7,7,41,41,0
diff_47,20,26,7,7,41,41,0
diff_48,20,26,7,7,41,41,0
diff_49,20,26,7,7,41,41,0
diff_50,20,26,7,7,41,41,0
diff_51,20,26,7,7,41,41,0
diff_52,20,26,7,7,41,41,0
diff_53,20,26,7,7,41,41,0
diff_54,20,26,7,7,41,41,0
