Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,76,67,5,5,136,136,0
diff_1,84,66,5,5,136,138,0
diff_2,80,68,5,5,138,138,0
diff_3,80,68,5,5,138,138,0
diff_4,80,68,5,5,138,138,0
diff_5,80,68,5,5,138,138,0
diff_6,80,68,5,5,138,138,0
diff_7,80,68,5,5,138,138,0
diff_8,80,68,5,5,138,138,0
diff_9,80,68,5,5,138,138,0
diff_10,80,68,5,5,138,138,0
diff_11,80,68,5,5,138,138,0
diff_12,80,68,5,5,138,138,0
diff_13,80,68,5,5,138,138,0
diff_14,80,68,5,5,138,138,0
diff_15,80,68,5,5,138,138,0
diff_16,80,68,5,5,138,138,0
diff_17,80,68,5,5,138,138,0
diff_18,80,68,5,5,138,138,0
diff_19,80,68,5,5,138,138,0
diff_20,80,68,5,5,138,138,0
diff_21,80,68,5,5,138,138,0
diff_22,80,68,5,5,138,138,0
diff_23,80,68,5,5,138,138,0
diff_24,80,68,5,5,138,138,0
diff_25,80,68,5,5,138,138,0
diff_26,80,68,5,5,138,138,0
diff_27,80,68,5,5,138,138,0
diff_28,80,68,5,5,138,138,0
diff_29,80,68,5,5,138,138,0
diff_30,80,68,5,5,138,138,0
diff_31,80,68,5,5,138,138,0
diff_32,80,68,5,5,138,138,0
diff_33,80,68,5,5,138,138,0
diff_34,80,68,5,5,138,138,0
diff_35,80,68,5,5,138,138,0
diff_36,80,68,5,5,138,138,0
diff_37,80,68,5,5,138,138,0
diff_38,80,68,5,5,138,138,0
diff_39,80,68,5,5,138,138,0
diff_40,80,68,5,5,138,138,0
diff_41,80,68,5,5,138,138,0
diff_42,80,68,5,5,138,138,0
diff_43,80,68,5,5,138,138,0
diff_44,80,68,5,5,138,138,0
diff_45,80,68,5,5,138,138,0
diff_46,80,68,5,5,138,138,0
diff_47,80,68,5,5,138,138,0
diff_48,80,68,5,5,138,138,0
diff_49,80,68,5,5,138,138,0
diff_50,80,68,5,5,138,138,0
diff_51,80,68,5,5,138,138,0
diff_52,80,68,5,5,138,138,0
diff_53,80,68,5,5,138,138,0
diff_54,80,68,5,5,138,138,0
diff_55,80,68,5,5,138,138,0
diff_56,80,68,5,5,138,138,0
diff_57,80,68,5,5,138,138,0
diff_58,80,68,5,5,138,138,0
diff_59,80,68,5,5,138,138,0
diff_60,80,68,5,5,138,138,0
diff_61,80,68,5,5,138,138,0
diff_62,80,68,5,5,138,138,0
diff_63,80,68,5,5,138,138,0
diff_64,80,68,5,5,138,138,0
diff_65,80,68,5,5,138,138,0
diff_66,80,68,5,5,138,138,0
diff_67,80,68,5,5,138,138,0
diff_68,80,68,5,5,138,138,0
diff_69,80,68,5,5,138,138,0
diff_70,80,68,5,5,138,138,0
diff_71,80,68,5,5,138,138,0
diff_72,80,68,5,5,138,138,0
diff_73,80,68,5,5,138,138,0
diff_74,80,68,5,5,138,138,0
diff_75,80,68,5,5,138,138,0
diff_76,80,68,5,5,138,138,0
diff_77,80,68,5,5,138,138,0
diff_78,80,68,5,5,138,138,0
diff_79,80,68,5,5,138,138,0
diff_80,80,68,5,5,138,138,0
diff_81,80,68,5,5,138,138,0
diff_82,80,68,5,5,138,138,0
diff_83,80,68,5,5,138,138,0
diff_84,80,68,5,5,138,138,0
diff_85,80,68,5,5,138,138,0
diff_86,80,68,5,5,138,138,0
diff_87,80,68,5,5,138,138,0
diff_88,80,68,5,5,138,138,0
diff_89,80,68,5,5,138,138,0
diff_90,80,68,5,5,138,138,0
diff_91,80,68,5,5,138,138,0
diff_92,80,68,5,5,138,138,0
diff_93,80,68,5,5,138,138,0
diff_94,80,68,5,5,138,138,0
diff_95,80,68,5,5,138,138,0
diff_96,80,68,5,5,138,138,0
diff_97,80,68,5,5,138,138,0
diff_98,80,68,5,5,138,138,0
diff_99,80,68,5,5,138,138,0
diff_100,80,68,5,5,138,138,0
diff_101,80,68,5,5,138,138,0
diff_102,80,68,5,5,138,138,0
diff_103,80,68,5,5,138,138,0
diff_104,80,68,5,5,138,138,0
diff_105,80,68,5,5,138,138,0
diff_106,80,68,5,5,138,138,0
diff_107,80,68,5,5,138,138,0
diff_108,80,68,5,5,138,138,0
diff_109,80,68,5,5,138,138,0
diff_110,80,68,5,5,138,138,0
diff_111,80,68,5,5,138,138,0
diff_112,80,68,5,5,138,138,0
diff_113,80,68,5,5,138,138,0
diff_114,80,68,5,5,138,138,0
diff_115,80,68,5,5,138,138,0
diff_116,80,68,5,5,138,138,0
diff_117,80,68,5,5,138,138,0
diff_118,80,68,5,5,138,138,0
diff_119,80,68,5,5,138,138,0
diff_120,80,68,5,5,138,138,0
diff_121,80,68,5,5,138,138,0
diff_122,80,68,5,5,138,138,0
