Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,208,2779,12,12,3825,3844,0
diff_1,166,2795,12,12,3844,3844,0
diff_2,456,2732,12,12,3844,3845,0
diff_3,162,2795,12,12,3845,3845,0
diff_4,191,2787,12,12,3845,3845,0
diff_5,160,2795,12,12,3845,3845,0
diff_6,172,2789,12,12,3845,3837,0
diff_7,190,2783,12,12,3837,3841,0
diff_8,197,2780,12,12,3841,3833,0
diff_9,331,2786,12,12,3833,3835,0
diff_10,190,2782,12,12,3835,3839,0
diff_11,204,2792,12,12,3839,3840,0
diff_12,218,2793,12,12,3840,3841,0
diff_13,482,2713,12,12,3841,3841,0
diff_14,194,2785,12,12,3841,3841,0
diff_15,193,2779,12,12,3841,3821,0
diff_16,4030,1073,12,12,3821,1467,0
diff_17,50,1073,12,12,1467,1467,0
diff_18,71,1061,12,12,1467,1454,0
diff_19,58,1055,12,12,1454,1446,0
diff_20,45,1055,12,12,1446,1446,0
diff_21,45,1055,12,12,1446,1446,0
diff_22,52,1053,12,12,1446,1446,0
diff_23,46,1055,12,12,1446,1446,0
diff_24,52,1053,12,12,1446,1446,0
diff_25,46,1054,12,12,1446,1444,0
diff_26,57,1049,12,12,1444,1438,0
diff_27,44,1050,12,12,1438,1437,0
diff_28,65,1041,12,12,1437,1425,0
diff_29,69,1029,12,12,1425,1409,0
diff_30,57,1023,12,12,1409,1402,0
diff_31,69,1011,12,12,1402,1387,0
diff_32,56,1005,12,12,1387,1380,0
diff_33,50,1002,12,12,1380,1377,0
diff_34,51,999,12,12,1377,1373,0
diff_35,50,996,12,12,1373,1370,0
diff_36,46,995,12,12,1370,1368,0
diff_37,46,995,12,12,1368,1371,0
diff_38,47,996,12,12,1371,1371,0
diff_39,44,996,12,12,1371,1371,0
diff_40,44,996,12,12,1371,1372,0
diff_41,58,994,12,12,1372,1372,0
diff_42,45,996,12,12,1372,1373,0
diff_43,78,996,12,12,1373,1394,0
diff_44,51,1012,12,12,1394,1397,0
diff_45,88,1014,12,12,1397,1420,0
diff_46,48,1031,12,12,1420,1421,0
diff_47,53,1030,12,12,1421,1419,0
diff_48,92,1028,12,12,1419,1440,0
diff_49,57,1043,12,12,1440,1436,0
diff_50,202,1005,12,12,1436,1436,0
diff_51,53,1043,12,12,1436,1436,0
diff_52,77,1043,12,12,1436,1452,0
diff_53,114,1053,12,12,1452,1483,0
diff_54,55,1081,12,12,1483,1485,0
diff_55,54,1082,12,12,1485,1488,0
diff_56,54,1083,12,12,1488,1490,0
diff_57,76,1079,12,12,1490,1492,0
diff_58,52,1086,12,12,1492,1492,0
diff_59,58,1083,12,12,1492,1489,0
diff_60,67,1083,12,12,1489,1499,0
