Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,45,389,13,13,751,750,0
diff_1,35,394,13,13,750,769,0
diff_2,226,364,13,13,769,782,0
diff_3,11,402,13,13,782,786,0
diff_4,6,403,13,13,786,786,0
diff_5,8,403,13,13,786,788,0
diff_6,7,405,13,13,788,792,0
diff_7,6,407,13,13,792,795,0
diff_8,4,409,13,13,795,797,0
diff_9,4,410,13,13,797,799,0
diff_10,44,403,13,13,799,804,0
diff_11,9,410,13,13,804,804,0
diff_12,40,402,13,13,804,804,0
diff_13,6,409,13,13,804,808,0
diff_14,8,411,13,13,808,816,0
diff_15,2,414,13,13,816,819,0
diff_16,2,414,13,13,819,820,0
diff_17,2,414,13,13,820,820,0
diff_18,365,271,13,12,820,501,0
diff_19,41,271,12,12,501,503,0
diff_20,44,272,12,12,503,509,0
diff_21,39,278,12,12,509,512,0
diff_22,40,279,12,12,512,512,0
diff_23,32,281,12,12,512,512,0
diff_24,32,281,12,12,512,512,0
diff_25,32,281,12,12,512,512,0
diff_26,32,281,12,12,512,512,0
diff_27,36,281,12,12,512,514,0
diff_28,32,283,12,12,514,514,0
diff_29,32,283,12,12,514,514,0
diff_30,64,283,12,12,514,534,0
diff_31,48,291,12,12,534,535,0
diff_32,121,280,12,12,535,543,0
diff_33,63,296,12,12,543,559,0
diff_34,38,304,12,12,559,556,0
diff_35,92,296,12,12,556,556,0
diff_36,32,304,12,12,556,556,0
diff_37,39,304,12,12,556,562,0
diff_38,32,306,12,12,562,562,0
diff_39,48,304,12,12,562,562,0
diff_40,32,306,12,12,562,562,0
diff_41,141,297,12,12,562,562,0
diff_42,155,282,12,12,562,552,0
diff_43,44,299,12,12,552,560,0
diff_44,44,302,12,12,560,567,0
diff_45,43,306,12,12,567,571,0
diff_46,36,308,12,12,571,573,0
diff_47,34,309,12,12,573,573,0
diff_48,35,309,12,12,573,574,0
diff_49,52,308,12,12,574,581,0
diff_50,38,314,12,12,581,581,0
diff_51,38,314,12,12,581,581,0
diff_52,40,314,12,12,581,582,0
diff_53,38,315,12,12,582,582,0
diff_54,40,315,12,12,582,584,0
diff_55,47,316,12,12,584,586,0
diff_56,40,317,12,12,586,587,0
diff_57,38,318,12,12,587,587,0
