Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,24,200,10,10,406,420,0
diff_1,33,208,10,10,420,443,0
diff_2,174,195,10,11,443,495,0
diff_3,81,235,11,13,495,517,0
diff_4,18,259,13,13,517,517,0
diff_5,9,259,13,13,517,517,0
diff_6,12,258,13,13,517,515,0
diff_7,3,258,13,13,515,515,0
diff_8,1,258,13,13,515,515,0
diff_9,6,258,13,13,515,519,0
diff_10,4,260,13,13,519,519,0
diff_11,8,260,13,13,519,525,0
diff_12,6,263,13,13,525,527,0
diff_13,6,264,13,13,527,531,0
diff_14,25,266,13,13,531,550,0
diff_15,6,275,13,13,550,550,0
diff_16,10,276,13,13,550,558,0
diff_17,5,280,13,13,558,562,0
diff_18,2,281,13,13,562,560,0
diff_19,7,281,13,13,560,566,0
diff_20,40,284,13,13,566,593,0
diff_21,38,297,13,13,593,611,0
diff_22,2,307,13,13,611,615,0
diff_23,4,308,13,13,615,622,0
diff_24,28,308,13,13,622,633,0
diff_25,4,316,13,13,633,635,0
diff_26,6,318,13,13,635,639,0
diff_27,2,319,13,13,639,636,0
diff_28,100,312,13,13,636,645,0
diff_29,2,323,13,13,645,646,0
diff_30,13,323,13,13,646,655,0
diff_31,47,325,13,13,655,674,0
diff_32,27,337,13,13,674,678,0
diff_33,29,342,13,13,678,702,0
diff_34,70,351,13,13,702,764,0
diff_35,2,379,13,13,764,762,0
diff_36,44,376,13,13,762,787,0
diff_37,25,386,13,13,787,783,0
diff_38,12,386,13,13,783,774,0
diff_39,21,386,13,13,774,794,0
diff_40,1,395,13,13,794,794,0
diff_41,5,393,13,13,794,790,0
diff_42,17,392,13,13,790,801,0
diff_43,0,397,13,13,801,802,0
diff_44,27,393,13,13,802,815,0
diff_45,10,402,13,13,815,821,0
diff_46,2,406,13,13,821,824,0
diff_47,2,407,13,13,824,826,0
diff_48,2,408,13,13,826,829,0
diff_49,7,409,13,13,829,833,0
diff_50,43,406,13,13,833,845,0
diff_51,2,418,13,13,845,847,0
diff_52,11,419,13,13,847,855,0
diff_53,23,423,13,13,855,857,0
diff_54,4,424,13,13,857,861,0
diff_55,10,426,13,13,861,867,0
diff_56,10,429,13,13,867,877,0
diff_57,0,433,13,13,877,877,0
diff_58,3,432,13,13,877,875,0
diff_59,15,432,13,13,875,889,0
diff_60,2,438,13,13,889,889,0
diff_61,4,438,13,13,889,889,0
diff_62,3,438,13,13,889,892,0
diff_63,6,439,13,13,892,900,0
diff_64,1,442,13,13,900,900,0
diff_65,36,435,13,13,900,900,0
diff_66,21,432,13,13,900,890,0
diff_67,24,432,13,13,890,894,0
diff_68,52,420,13,13,894,884,0
diff_69,3,428,13,13,884,882,0
diff_70,70,400,13,13,882,815,0
diff_71,11,397,13,13,815,810,0
diff_72,0,399,13,13,810,810,0
diff_73,2,399,13,13,810,810,0
diff_74,2,398,13,13,810,808,0
diff_75,104,364,13,13,808,758,0
diff_76,0,372,13,13,758,757,0
diff_77,9,370,13,13,757,757,0
diff_78,4,372,13,13,757,760,0
diff_79,0,374,13,13,760,760,0
diff_80,2,374,13,13,760,762,0
diff_81,6,375,13,13,762,766,0
diff_82,14,378,13,13,766,774,0
diff_83,2,381,13,13,774,772,0
diff_84,3,381,13,13,772,774,0
diff_85,2,382,13,13,774,774,0
diff_86,1,382,13,13,774,774,0
diff_87,7,382,13,13,774,780,0
diff_88,2,385,13,13,780,783,0
diff_89,20,386,13,13,783,795,0
diff_90,14,392,13,13,795,812,0
diff_91,24,392,13,13,812,814,0
diff_92,4,397,13,13,814,814,0
diff_93,0,398,13,13,814,814,0
diff_94,0,398,13,13,814,814,0
diff_95,0,398,13,13,814,814,0
diff_96,0,398,13,13,814,814,0
