Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,110,3,3,6,4,94,0
diff_1,136,44,6,6,94,148,0
diff_2,49,78,6,6,148,152,0
diff_3,44,80,6,6,152,152,0
diff_4,76,78,6,10,152,170,0
diff_5,54,88,10,10,170,169,0
diff_6,46,88,10,10,169,169,0
diff_7,151,88,10,10,169,241,0
diff_8,76,125,10,10,241,241,0
diff_9,77,125,10,10,241,241,0
diff_10,106,124,10,10,241,256,0
diff_11,98,126,10,10,256,254,0
diff_12,85,128,10,10,254,252,0
diff_13,78,129,10,10,252,252,0
diff_14,102,129,10,10,252,258,0
diff_15,99,128,10,10,258,256,0
diff_16,90,129,10,10,256,256,0
diff_17,90,129,10,10,256,256,0
diff_18,90,129,10,10,256,256,0
diff_19,90,129,10,10,256,256,0
diff_20,90,129,10,10,256,256,0
diff_21,90,129,10,10,256,256,0
diff_22,90,129,10,10,256,256,0
diff_23,90,129,10,10,256,256,0
diff_24,90,129,10,10,256,256,0
diff_25,90,129,10,10,256,256,0
diff_26,90,129,10,10,256,256,0
diff_27,107,129,10,10,256,267,0
diff_28,120,135,10,10,267,283,0
diff_29,98,144,10,10,283,283,0
diff_30,98,144,10,10,283,283,0
diff_31,98,144,10,10,283,283,0
diff_32,291,133,10,10,283,391,0
diff_33,122,198,10,10,391,400,0
diff_34,139,201,10,10,400,420,0
diff_35,129,211,10,10,420,426,0
diff_36,129,215,10,10,426,432,0
diff_37,155,217,10,10,432,451,0
diff_38,124,230,10,10,451,451,0
diff_39,124,230,10,10,451,450,0
diff_40,124,230,10,10,450,450,0
diff_41,128,230,10,10,450,450,0
diff_42,209,218,10,10,450,466,0
diff_43,126,235,10,10,466,466,0
diff_44,189,225,10,10,466,481,0
diff_45,161,239,10,10,481,485,0
diff_46,145,244,10,10,485,493,0
diff_47,140,248,10,10,493,493,0
diff_48,137,249,10,10,493,495,0
diff_49,138,250,10,10,495,497,0
diff_50,136,251,10,10,497,497,0
diff_51,141,251,10,10,497,501,0
diff_52,173,250,10,10,501,515,0
diff_53,144,260,10,10,515,519,0
diff_54,184,262,10,10,519,549,0
diff_55,149,278,10,10,549,555,0
diff_56,163,279,10,10,555,566,0
diff_57,148,285,10,10,566,569,0
diff_58,146,286,10,10,569,569,0
diff_59,146,286,10,10,569,569,0
diff_60,146,286,10,10,569,569,0
diff_61,168,283,10,10,569,571,0
diff_62,164,286,10,10,571,581,0
diff_63,158,292,10,10,581,584,0
diff_64,154,293,10,10,584,584,0
diff_65,160,293,10,10,584,590,0
diff_66,158,296,10,10,590,594,0
diff_67,154,298,10,10,594,594,0
diff_68,154,298,10,10,594,594,0
diff_69,221,298,10,12,594,636,0
diff_70,160,328,12,12,636,636,0
diff_71,160,328,12,12,636,636,0
diff_72,160,328,12,12,636,636,0
diff_73,167,328,12,12,636,640,0
diff_74,279,312,12,12,640,658,0
diff_75,204,334,12,12,658,665,0
diff_76,223,333,12,12,665,682,0
diff_77,194,343,12,12,682,684,0
diff_78,174,348,12,12,684,684,0
diff_79,168,351,12,12,684,692,0
diff_80,162,354,12,12,692,692,0
diff_81,162,354,12,12,692,692,0
diff_82,165,354,12,12,692,694,0
diff_83,164,355,12,12,694,694,0
diff_84,164,355,12,12,694,694,0
diff_85,167,354,12,12,694,693,0
diff_86,238,343,12,12,693,711,0
diff_87,169,363,12,12,711,711,0
diff_88,168,363,12,12,711,711,0
diff_89,169,363,12,12,711,711,0
diff_90,168,363,12,12,711,711,0
diff_91,181,357,12,12,711,698,0
diff_92,166,357,12,12,698,698,0
diff_93,350,307,12,12,698,634,0
diff_94,162,320,12,12,634,622,0
diff_95,146,320,12,12,622,622,0
diff_96,146,320,12,12,622,622,0
diff_97,157,320,12,12,622,628,0
diff_98,149,323,12,12,628,630,0
diff_99,146,324,12,12,630,630,0
diff_100,146,324,12,12,630,630,0
diff_101,146,324,12,12,630,630,0
diff_102,146,324,12,12,630,630,0
diff_103,154,324,12,12,630,635,0
diff_104,148,327,12,12,635,638,0
diff_105,146,328,12,13,638,641,0
diff_106,147,328,13,13,641,642,0
diff_107,148,328,13,13,642,642,0
diff_108,148,328,13,13,642,642,0
diff_109,148,328,13,13,642,642,0
diff_110,148,328,13,13,642,642,0
diff_111,148,328,13,13,642,642,0
diff_112,157,328,13,13,642,652,0
diff_113,148,332,13,13,652,652,0
diff_114,148,332,13,13,652,652,0
diff_115,148,332,13,13,652,652,0
diff_116,148,332,13,13,652,652,0
diff_117,148,332,13,13,652,652,0
diff_118,148,332,13,13,652,652,0
diff_119,148,332,13,13,652,652,0
diff_120,148,332,13,13,652,652,0
diff_121,149,332,13,13,652,652,0
diff_122,148,332,13,13,652,652,0
diff_123,148,332,13,13,652,652,0
diff_124,148,332,13,13,652,652,0
diff_125,148,332,13,13,652,652,0
diff_126,148,332,13,13,652,652,0
