Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,48,148,10,10,282,282,0
diff_1,48,148,10,10,282,282,0
diff_2,50,148,10,10,282,282,0
diff_3,56,147,10,10,282,281,0
diff_4,50,147,10,10,281,281,0
diff_5,50,147,10,10,281,281,0
diff_6,50,147,10,10,281,281,0
diff_7,50,147,10,10,281,281,0
diff_8,50,147,10,10,281,281,0
diff_9,50,147,10,10,281,281,0
diff_10,50,147,10,10,281,281,0
diff_11,61,147,10,10,281,289,0
diff_12,56,151,10,10,289,289,0
diff_13,54,151,10,10,289,289,0
diff_14,57,149,10,10,289,286,0
diff_15,52,149,10,10,286,286,0
diff_16,52,149,10,10,286,286,0
diff_17,52,149,10,10,286,286,0
diff_18,52,149,10,10,286,286,0
diff_19,55,149,10,10,286,288,0
diff_20,64,150,10,10,288,297,0
diff_21,56,155,10,10,297,297,0
diff_22,56,155,10,10,297,297,0
diff_23,56,155,10,10,297,297,0
diff_24,56,155,10,10,297,297,0
diff_25,56,155,10,10,297,297,0
diff_26,57,155,10,10,297,298,0
diff_27,58,155,10,10,298,298,0
diff_28,66,150,10,10,298,289,0
diff_29,54,150,10,10,289,289,0
diff_30,54,150,10,10,289,289,0
diff_31,54,150,10,10,289,289,0
diff_32,54,150,10,10,289,289,0
diff_33,54,150,10,10,289,289,0
diff_34,71,149,10,10,289,296,0
diff_35,61,154,10,10,296,296,0
diff_36,60,154,10,10,296,296,0
diff_37,60,154,10,10,296,296,0
