Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,24,51,8,8,94,94,0
diff_1,24,51,8,8,94,94,0
diff_2,24,51,8,8,94,94,0
diff_3,26,51,8,8,94,95,0
diff_4,24,51,8,8,95,97,0
diff_5,24,51,8,8,97,97,0
diff_6,24,51,8,8,97,97,0
diff_7,34,51,8,8,97,104,0
diff_8,34,52,8,8,104,101,0
diff_9,26,53,8,8,101,101,0
diff_10,26,53,8,8,101,101,0
diff_11,26,53,8,8,101,101,0
diff_12,26,53,8,8,101,101,0
diff_13,28,53,8,8,101,101,0
diff_14,26,53,8,8,101,101,0
diff_15,26,53,8,8,101,101,0
diff_16,66,45,8,8,101,105,0
diff_17,26,55,8,8,105,105,0
diff_18,26,55,8,8,105,105,0
diff_19,26,55,8,8,105,105,0
diff_20,26,55,8,8,105,105,0
diff_21,36,53,8,8,105,107,0
diff_22,32,55,8,9,107,110,0
diff_23,36,55,9,9,110,112,0
diff_24,26,58,9,9,112,112,0
diff_25,60,53,9,9,112,121,0
diff_26,28,63,9,9,121,121,0
diff_27,39,63,9,9,121,130,0
diff_28,32,67,9,9,130,130,0
diff_29,32,67,9,9,130,130,0
diff_30,32,67,9,9,130,130,0
diff_31,32,67,9,9,130,130,0
diff_32,32,67,9,9,130,130,0
diff_33,32,67,9,9,130,130,0
diff_34,32,67,9,9,130,130,0
diff_35,32,67,9,9,130,130,0
diff_36,32,67,9,9,130,130,0
diff_37,32,67,9,9,130,130,0
