Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,12,12,6,6,21,21,0
diff_1,15,12,6,6,21,23,0
diff_2,14,13,6,6,23,23,0
diff_3,14,13,6,6,23,23,0
diff_4,14,13,6,6,23,23,0
diff_5,14,13,6,7,23,26,0
diff_6,14,13,7,7,26,26,0
diff_7,14,13,7,7,26,26,0
diff_8,14,13,7,7,26,26,0
diff_9,14,13,7,7,26,26,0
diff_10,14,13,7,7,26,26,0
diff_11,14,13,7,7,26,26,0
diff_12,14,13,7,7,26,26,0
diff_13,14,13,7,7,26,26,0
diff_14,15,13,7,7,26,26,0
diff_15,14,13,7,7,26,26,0
diff_16,14,13,7,7,26,26,0
diff_17,14,13,7,7,26,26,0
diff_18,14,13,7,7,26,26,0
diff_19,14,13,7,7,26,26,0
diff_20,14,13,7,7,26,26,0
diff_21,14,13,7,7,26,26,0
diff_22,14,13,7,7,26,26,0
diff_23,14,13,7,7,26,26,0
diff_24,14,13,7,7,26,26,0
diff_25,14,13,7,7,26,26,0
diff_26,14,13,7,7,26,26,0
diff_27,14,13,7,7,26,26,0
diff_28,14,13,7,7,26,26,0
diff_29,14,13,7,7,26,27,0
diff_30,14,13,7,7,27,27,0
diff_31,14,13,7,7,27,27,0
diff_32,14,13,7,7,27,27,0
diff_33,14,13,7,7,27,27,0
diff_34,14,13,7,7,27,27,0
diff_35,14,13,7,7,27,27,0
diff_36,15,13,7,7,27,27,0
diff_37,14,13,7,7,27,27,0
