Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,14,15,5,5,29,29,0
diff_1,38,13,5,5,29,27,0
diff_2,38,13,5,5,27,29,0
diff_3,12,15,5,5,29,29,0
diff_4,51,9,5,5,29,31,0
diff_5,33,16,5,7,31,46,0
diff_6,12,25,7,7,46,46,0
diff_7,12,25,7,7,46,46,0
diff_8,12,25,7,7,46,46,0
diff_9,12,25,7,7,46,46,0
diff_10,12,25,7,7,46,46,0
diff_11,12,25,7,7,46,46,0
diff_12,12,25,7,7,46,46,0
diff_13,12,25,7,7,46,46,0
diff_14,12,25,7,7,46,46,0
diff_15,12,25,7,7,46,46,0
diff_16,12,25,7,7,46,46,0
diff_17,12,25,7,7,46,46,0
diff_18,12,25,7,7,46,46,0
diff_19,12,25,7,7,46,46,0
diff_20,12,25,7,7,46,46,0
diff_21,12,25,7,7,46,46,0
diff_22,12,25,7,7,46,46,0
diff_23,12,25,7,7,46,46,0
diff_24,12,25,7,7,46,46,0
diff_25,12,25,7,7,46,46,0
diff_26,12,25,7,7,46,46,0
diff_27,12,25,7,7,46,46,0
diff_28,12,25,7,7,46,46,0
diff_29,12,25,7,7,46,46,0
diff_30,12,25,7,7,46,46,0
diff_31,12,25,7,7,46,46,0
