,excess_count
0,2
1,9
2,10
3,0
4,6
5,9
6,9
7,13
8,13
9,3
10,2
11,13
12,0
13,14
14,15
15,14
16,13
17,1
18,14
19,0
20,3
21,0
22,11
23,8
24,6
25,0
26,12
27,14
28,16
29,1
30,11
31,0
32,8
33,11
34,5
35,10
36,0
37,8
38,6
39,14
40,0
41,0
42,7
43,10
44,9
45,11
46,7
47,10
48,0
49,7
50,5
51,5
52,7
53,5
54,0
55,9
56,7
57,7
58,7
59,4
60,0
61,0
62,9
63,0
64,0
65,0
66,0
67,0
68,1
69,14
70,2
71,11
72,12
73,13
74,2
75,12
76,0
77,15
78,7
79,9
80,15
81,9
82,0
83,0
84,0
85,9
86,7
87,9
88,16
89,0
90,1
91,13
92,8
93,3
94,14
95,13
96,0
97,8
98,16
99,12
100,15
101,15
102,8
103,2
104,0
105,9
106,1
107,6
108,0
109,14
110,10
111,2
112,12
113,2
114,2
115,9
116,0
117,14
118,1
119,13
120,9
121,7
122,1
123,2
124,7
125,7
126,3
127,10
128,0
129,0
130,12
131,13
132,13
133,0
134,7
135,2
136,0
137,6
138,15
139,0
140,14
141,10
142,3
143,4
144,11
145,13
146,0
147,15
148,1
149,14
150,13
151,0
152,5
153,16
154,9
155,0
156,0
157,8
158,5
159,10
160,16
161,9
162,12
163,5
164,3
165,13
166,15
167,8
168,13
169,0
170,12
171,0
172,17
173,10
174,16
175,16
176,15
177,11
178,7
179,13
180,9
181,17
182,3
183,10
184,1
185,2
186,6
187,0
188,1
189,0
190,12
191,7
192,0
193,5
194,1
195,0
196,16
197,0
198,0
199,0
200,14
201,0
202,13
203,5
204,9
205,7
206,0
207,2
208,7
209,6
210,11
211,5
212,16
213,6
214,6
215,6
216,8
217,3
218,2
219,2
220,9
